VesselID,width,length,height,height_loaded,emissionfactor,power,own_weight,loaded_capacity,capacity_unloaded,loaded_speed,speed_unloaded,loaded_resistance,resistance_unloaded,is_loaded,vessel_type,scenario
37eb9770-4973-11e9-87fe-b469212bff5b,6.6,70.0,3.0,6.1,0.71,118.0,90.0,390.0,0.0,3.333,4.305,36338.0,15187.0,0.0,B02,All
37eb9770-4973-11e9-87fe-b469212bff5b,6.6,70.0,3.0,6.1,0.71,118.0,90.0,390.0,0.0,3.333,4.305,36338.0,15187.0,1.0,B02,All
3c8896ac-4973-11e9-8cff-b469212bff5b,7.5,80.0,3.0,6.4,0.71,120.0,95.0,520.0,0.0,3.667,4.278,42647.0,18677.0,0.0,B03,All
3c8896ac-4973-11e9-8cff-b469212bff5b,7.5,80.0,3.0,6.4,0.71,120.0,95.0,520.0,0.0,3.667,4.278,42647.0,18677.0,1.0,B03,All
4073635c-4973-11e9-b613-b469212bff5b,8.2,85.0,3.0,6.6,0.71,160.0,95.0,625.0,0.0,3.778,4.361,47147.0,21147.0,0.0,B04,All
4073635c-4973-11e9-b613-b469212bff5b,8.2,85.0,3.0,6.6,0.71,160.0,95.0,625.0,0.0,3.778,4.361,47147.0,21147.0,1.0,B04,All
463fde30-4973-11e9-ba75-b469212bff5b,10.1,38.5,3.0,5.25,0.71,36.0,80.0,585.0,0.0,3.0,4.222,28204.0,15387.0,0.0,C1b,All
463fde30-4973-11e9-ba75-b469212bff5b,10.1,38.5,3.0,5.25,0.71,36.0,80.0,585.0,0.0,3.0,4.222,28204.0,15387.0,1.0,C1b,All
49c3124a-4973-11e9-be8c-b469212bff5b,5.05,80.0,3.0,5.25,0.71,36.0,80.0,585.0,0.0,3.278,4.389,20357.0,15211.0,0.0,C1L,All
49c3124a-4973-11e9-be8c-b469212bff5b,5.05,80.0,3.0,5.25,0.71,36.0,80.0,585.0,0.0,3.278,4.389,20357.0,15211.0,1.0,C1L,All
