station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,2.0,3.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,4.0
Amstelstation,220.0,220.0,206.0,231.0,229.0,193.0,214.0,208.0,225.0,229.0
Amstelveenseweg,38.0,34.0,32.0,39.0,27.0,35.0,36.0,48.0,33.0,31.0
Beethovenstraat,,,,,,,,,,
Bullewijk,135.0,124.0,122.0,117.0,135.0,118.0,131.0,116.0,139.0,133.0
Burg.de Vlugtlaan,50.0,44.0,52.0,45.0,59.0,50.0,51.0,62.0,45.0,40.0
Centraal Station,552.0,560.0,574.0,588.0,577.0,573.0,562.0,560.0,565.0,530.0
Cornelis Troostplein,6.0,3.0,3.0,8.0,7.0,5.0,5.0,4.0,5.0,4.0
Dam,105.0,114.0,123.0,127.0,107.0,127.0,101.0,129.0,117.0,111.0
De Boelelaan/VU,,,,,,,,,,
De Pijp,408.0,413.0,464.0,426.0,437.0,441.0,456.0,429.0,426.0,431.0
Europaplein,147.0,143.0,153.0,138.0,160.0,151.0,149.0,145.0,149.0,137.0
Gaasperplas,87.0,89.0,78.0,80.0,85.0,95.0,67.0,95.0,79.0,97.0
Gein,76.0,94.0,94.0,100.0,103.0,90.0,95.0,74.0,86.0,92.0
Gerrit v.d. Veenstraat,7.0,9.0,19.0,9.0,12.0,12.0,16.0,13.0,9.0,16.0
Heemstedestraat,27.0,43.0,46.0,36.0,38.0,52.0,35.0,36.0,53.0,36.0
Henk Sneevlietweg,50.0,51.0,51.0,63.0,43.0,44.0,54.0,44.0,59.0,51.0
IJsbaanpad,,,,,,,,,,
Isolatorweg,6.0,9.0,6.0,5.0,7.0,10.0,5.0,11.0,4.0,7.0
Jan v.Galenstraat,51.0,67.0,50.0,57.0,52.0,49.0,52.0,43.0,53.0,50.0
Keizersgracht,5.0,13.0,7.0,4.0,12.0,12.0,7.0,6.0,8.0,7.0
Koningsplein,31.0,29.0,42.0,36.0,33.0,30.0,30.0,25.0,30.0,28.0
Kraaienneststation,197.0,185.0,196.0,213.0,182.0,200.0,209.0,181.0,211.0,226.0
Leidseplein,74.0,87.0,71.0,88.0,82.0,99.0,86.0,88.0,83.0,90.0
Maasstraat,1.0,3.0,3.0,4.0,7.0,8.0,1.0,4.0,6.0,1.0
Marie Heinekenplein,19.0,45.0,26.0,29.0,30.0,28.0,23.0,30.0,35.0,25.0
Minervaplein,,2.0,3.0,2.0,2.0,1.0,,1.0,1.0,
Muntplein,36.0,44.0,44.0,58.0,42.0,53.0,32.0,48.0,48.0,36.0
Museumplein,30.0,19.0,19.0,20.0,19.0,17.0,24.0,18.0,22.0,27.0
Nieuwezijds Kolk,30.0,26.0,25.0,26.0,22.0,32.0,22.0,28.0,18.0,24.0
Nieuwmarkt,79.0,75.0,104.0,75.0,73.0,84.0,75.0,79.0,72.0,80.0
Noord,525.0,531.0,544.0,529.0,525.0,548.0,521.0,566.0,543.0,550.0
Noorderpark,220.0,222.0,181.0,204.0,225.0,211.0,217.0,202.0,224.0,219.0
Olympiaplein,24.0,23.0,17.0,17.0,15.0,21.0,13.0,16.0,23.0,17.0
Olympiaweg,15.0,23.0,12.0,9.0,6.0,11.0,23.0,12.0,15.0,12.0
Olympisch stadion,20.0,27.0,16.0,15.0,25.0,17.0,22.0,24.0,15.0,18.0
Overamstel,40.0,36.0,40.0,41.0,30.0,36.0,40.0,31.0,49.0,33.0
Postjesweg,54.0,41.0,44.0,48.0,47.0,41.0,29.0,52.0,32.0,45.0
Prinsengracht,33.0,17.0,23.0,29.0,16.0,18.0,25.0,22.0,26.0,20.0
Reigersbos,120.0,127.0,98.0,91.0,120.0,125.0,141.0,94.0,120.0,123.0
Rijksmuseum,24.0,14.0,26.0,13.0,25.0,20.0,24.0,26.0,17.0,21.0
Roelof Hartplein,43.0,55.0,68.0,63.0,52.0,42.0,56.0,68.0,52.0,52.0
Rokin,271.0,274.0,281.0,279.0,266.0,271.0,289.0,280.0,295.0,294.0
Scheldestraat,4.0,2.0,1.0,2.0,2.0,1.0,3.0,,1.0,2.0
Spaklerweg,61.0,53.0,40.0,49.0,48.0,56.0,50.0,58.0,49.0,45.0
Spui,27.0,17.0,12.0,17.0,23.0,16.0,14.0,13.0,11.0,14.0
Station Bijlmer ArenA,324.0,299.0,321.0,308.0,309.0,308.0,296.0,308.0,311.0,316.0
Station Diemen-Zuid,142.0,140.0,167.0,130.0,137.0,142.0,147.0,164.0,141.0,125.0
Station Duivendrecht,77.0,79.0,77.0,102.0,76.0,72.0,78.0,73.0,101.0,79.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,108.0,110.0,92.0,88.0,115.0,99.0,98.0,103.0,105.0,118.0
Station RAI,58.0,49.0,59.0,55.0,53.0,51.0,50.0,48.0,60.0,69.0
Station Sloterdijk,103.0,87.0,91.0,103.0,103.0,115.0,106.0,113.0,102.0,81.0
Strandvliet,113.0,100.0,103.0,99.0,109.0,102.0,111.0,108.0,73.0,101.0
Van Baerlestraat,16.0,19.0,13.0,21.0,15.0,17.0,21.0,14.0,24.0,16.0
Van der Madeweg,96.0,112.0,81.0,85.0,102.0,99.0,112.0,99.0,88.0,85.0
Venserpolder,97.0,96.0,104.0,98.0,108.0,84.0,98.0,110.0,91.0,89.0
Verrijn Stuartweg,19.0,24.0,18.0,20.0,19.0,20.0,16.0,15.0,21.0,18.0
