station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,1.0,4.0,1.0,2.0,4.0,3.0,1.0,5.0,5.0,3.0
Amstelstation,138.0,148.0,170.0,156.0,160.0,170.0,189.0,153.0,162.0,169.0
Amstelveenseweg,71.0,64.0,68.0,79.0,62.0,60.0,64.0,71.0,77.0,62.0
Beethovenstraat,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,
Bullewijk,103.0,99.0,86.0,102.0,101.0,91.0,93.0,113.0,107.0,107.0
Burg.de Vlugtlaan,18.0,19.0,22.0,10.0,22.0,25.0,22.0,17.0,23.0,16.0
Centraal Station,679.0,689.0,664.0,676.0,707.0,652.0,674.0,664.0,619.0,669.0
Cornelis Troostplein,7.0,5.0,4.0,6.0,6.0,9.0,6.0,10.0,6.0,12.0
Dam,219.0,228.0,243.0,212.0,225.0,216.0,209.0,210.0,227.0,199.0
De Boelelaan/VU,9.0,14.0,11.0,14.0,13.0,13.0,14.0,8.0,15.0,15.0
De Pijp,416.0,432.0,435.0,458.0,421.0,442.0,411.0,378.0,372.0,413.0
Europaplein,151.0,176.0,162.0,160.0,152.0,156.0,169.0,180.0,173.0,152.0
Gaasperplas,26.0,23.0,28.0,28.0,18.0,26.0,30.0,24.0,26.0,15.0
Gein,30.0,25.0,39.0,31.0,38.0,36.0,31.0,36.0,37.0,35.0
Gerrit v.d. Veenstraat,10.0,18.0,16.0,25.0,21.0,16.0,16.0,14.0,9.0,13.0
Heemstedestraat,26.0,25.0,22.0,20.0,20.0,20.0,26.0,22.0,17.0,22.0
Henk Sneevlietweg,53.0,35.0,39.0,48.0,46.0,43.0,39.0,53.0,43.0,51.0
IJsbaanpad,1.0,1.0,,,,,,,,
Isolatorweg,12.0,17.0,8.0,14.0,10.0,8.0,9.0,14.0,23.0,11.0
Jan v.Galenstraat,32.0,26.0,24.0,31.0,40.0,28.0,25.0,25.0,27.0,41.0
Keizersgracht,16.0,19.0,14.0,12.0,17.0,19.0,14.0,17.0,25.0,17.0
Koningsplein,65.0,64.0,63.0,56.0,70.0,52.0,57.0,58.0,65.0,71.0
Kraaienneststation,69.0,63.0,65.0,64.0,66.0,58.0,78.0,63.0,71.0,67.0
Leidseplein,127.0,115.0,105.0,106.0,128.0,119.0,126.0,129.0,120.0,106.0
Maasstraat,1.0,3.0,2.0,1.0,,,2.0,2.0,2.0,5.0
Marie Heinekenplein,49.0,43.0,43.0,42.0,49.0,46.0,54.0,55.0,50.0,40.0
Minervaplein,,,,,,,,,,
Muntplein,62.0,44.0,56.0,69.0,71.0,74.0,62.0,74.0,61.0,68.0
Museumplein,31.0,37.0,38.0,29.0,29.0,35.0,43.0,37.0,37.0,29.0
Nieuwezijds Kolk,35.0,30.0,27.0,26.0,27.0,20.0,26.0,24.0,31.0,35.0
Nieuwmarkt,102.0,88.0,91.0,116.0,81.0,100.0,95.0,110.0,112.0,87.0
Noord,158.0,143.0,150.0,167.0,152.0,168.0,183.0,158.0,159.0,156.0
Noorderpark,111.0,116.0,112.0,111.0,104.0,130.0,99.0,105.0,103.0,114.0
Olympiaplein,14.0,10.0,12.0,14.0,17.0,13.0,6.0,12.0,21.0,16.0
Olympiaweg,8.0,15.0,6.0,12.0,8.0,9.0,8.0,9.0,11.0,12.0
Olympisch stadion,11.0,6.0,11.0,12.0,9.0,13.0,6.0,7.0,16.0,6.0
