station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,15.0,9.0,11.0,12.0,4.0,8.0,8.0,9.0,6.0,9.0
Amstelstation,345.0,342.0,308.0,324.0,305.0,329.0,327.0,331.0,345.0,350.0
Amstelveenseweg,55.0,69.0,44.0,63.0,54.0,52.0,58.0,65.0,64.0,60.0
Beethovenstraat,3.0,3.0,4.0,3.0,3.0,,2.0,4.0,2.0,2.0
Bullewijk,190.0,201.0,185.0,186.0,173.0,174.0,192.0,193.0,185.0,190.0
Burg.de Vlugtlaan,40.0,61.0,50.0,57.0,53.0,53.0,41.0,60.0,49.0,63.0
Centraal Station,1222.0,1148.0,1167.0,1178.0,1158.0,1113.0,1162.0,1176.0,1144.0,1155.0
Cornelis Troostplein,25.0,18.0,17.0,20.0,18.0,17.0,26.0,21.0,23.0,13.0
Dam,342.0,342.0,310.0,335.0,315.0,342.0,312.0,327.0,337.0,326.0
De Boelelaan/VU,,,,,1.0,1.0,1.0,,,1.0
De Pijp,984.0,1018.0,975.0,988.0,1006.0,948.0,1030.0,986.0,954.0,979.0
Europaplein,420.0,468.0,429.0,452.0,457.0,483.0,474.0,398.0,421.0,474.0
Gaasperplas,133.0,153.0,137.0,146.0,139.0,145.0,132.0,161.0,139.0,146.0
Gein,134.0,146.0,134.0,151.0,145.0,138.0,112.0,120.0,126.0,147.0
Gerrit v.d. Veenstraat,29.0,36.0,30.0,36.0,37.0,29.0,28.0,31.0,41.0,26.0
Heemstedestraat,44.0,49.0,51.0,37.0,49.0,38.0,42.0,32.0,45.0,45.0
Henk Sneevlietweg,71.0,61.0,75.0,71.0,65.0,61.0,82.0,68.0,69.0,77.0
IJsbaanpad,1.0,1.0,3.0,1.0,3.0,1.0,,1.0,3.0,2.0
Isolatorweg,41.0,39.0,49.0,38.0,36.0,46.0,29.0,36.0,43.0,32.0
Jan v.Galenstraat,59.0,49.0,44.0,47.0,61.0,64.0,34.0,56.0,53.0,49.0
Keizersgracht,35.0,30.0,20.0,33.0,29.0,47.0,27.0,45.0,34.0,33.0
Koningsplein,107.0,85.0,104.0,90.0,83.0,82.0,93.0,104.0,99.0,92.0
Kraaienneststation,207.0,231.0,217.0,238.0,219.0,224.0,251.0,211.0,216.0,221.0
Leidseplein,153.0,165.0,149.0,148.0,153.0,141.0,182.0,150.0,169.0,168.0
Maasstraat,10.0,9.0,16.0,11.0,21.0,16.0,14.0,16.0,18.0,11.0
Marie Heinekenplein,118.0,126.0,131.0,135.0,152.0,123.0,134.0,126.0,147.0,135.0
Minervaplein,14.0,13.0,24.0,9.0,16.0,13.0,13.0,16.0,11.0,5.0
Muntplein,129.0,139.0,133.0,156.0,140.0,114.0,141.0,156.0,145.0,135.0
Museumplein,60.0,56.0,52.0,64.0,65.0,57.0,65.0,58.0,70.0,59.0
Nieuwezijds Kolk,51.0,56.0,63.0,51.0,57.0,53.0,61.0,61.0,64.0,46.0
Nieuwmarkt,143.0,128.0,149.0,168.0,166.0,164.0,154.0,147.0,164.0,155.0
Noord,1010.0,913.0,943.0,1001.0,954.0,996.0,1014.0,1011.0,992.0,985.0
Noorderpark,324.0,371.0,365.0,317.0,347.0,401.0,333.0,355.0,376.0,341.0
Olympiaplein,33.0,36.0,33.0,53.0,39.0,40.0,43.0,50.0,36.0,39.0
Olympiaweg,31.0,28.0,36.0,32.0,38.0,34.0,39.0,31.0,27.0,41.0
Olympisch stadion,40.0,37.0,55.0,51.0,45.0,56.0,49.0,56.0,40.0,52.0
Overamstel,80.0,74.0,74.0,72.0,74.0,66.0,65.0,78.0,72.0,59.0
Postjesweg,58.0,47.0,49.0,57.0,56.0,37.0,52.0,64.0,62.0,47.0
Prinsengracht,55.0,49.0,55.0,63.0,56.0,74.0,58.0,70.0,53.0,64.0
Reigersbos,165.0,152.0,153.0,143.0,157.0,156.0,167.0,153.0,150.0,183.0
Rijksmuseum,80.0,58.0,76.0,71.0,67.0,72.0,78.0,79.0,83.0,73.0
Roelof Hartplein,129.0,155.0,146.0,131.0,143.0,156.0,113.0,135.0,137.0,124.0
Rokin,875.0,877.0,927.0,813.0,922.0,922.0,863.0,866.0,832.0,857.0
Scheldestraat,15.0,17.0,16.0,17.0,8.0,20.0,16.0,19.0,16.0,10.0
Spaklerweg,85.0,74.0,84.0,62.0,82.0,91.0,68.0,71.0,74.0,83.0
Spui,48.0,71.0,67.0,54.0,52.0,59.0,66.0,47.0,59.0,46.0
Station Bijlmer ArenA,587.0,663.0,609.0,639.0,574.0,631.0,596.0,651.0,569.0,634.0
Station Diemen-Zuid,204.0,194.0,192.0,207.0,187.0,183.0,202.0,198.0,223.0,199.0
Station Duivendrecht,101.0,84.0,98.0,86.0,90.0,78.0,89.0,91.0,102.0,95.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,118.0,145.0,136.0,140.0,146.0,125.0,135.0,131.0,127.0,119.0
