station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,15.0,11.0,5.0,7.0,9.0,11.0,8.0,5.0,10.0,12.0
Amstelstation,346.0,352.0,360.0,313.0,365.0,362.0,339.0,357.0,336.0,336.0
Amstelveenseweg,142.0,153.0,154.0,150.0,144.0,143.0,148.0,131.0,150.0,168.0
Beethovenstraat,17.0,16.0,14.0,15.0,12.0,13.0,7.0,16.0,14.0,16.0
Bullewijk,165.0,153.0,149.0,147.0,163.0,142.0,163.0,178.0,132.0,155.0
Burg.de Vlugtlaan,55.0,42.0,47.0,44.0,51.0,54.0,52.0,55.0,50.0,60.0
Centraal Station,847.0,853.0,911.0,901.0,861.0,867.0,829.0,832.0,919.0,860.0
Cornelis Troostplein,15.0,22.0,16.0,14.0,17.0,16.0,16.0,16.0,10.0,18.0
Dam,231.0,251.0,228.0,248.0,251.0,246.0,263.0,228.0,290.0,233.0
De Boelelaan/VU,38.0,46.0,43.0,45.0,54.0,45.0,51.0,52.0,52.0,43.0
De Pijp,788.0,789.0,806.0,793.0,767.0,839.0,751.0,796.0,807.0,811.0
Europaplein,372.0,379.0,367.0,363.0,409.0,372.0,329.0,333.0,388.0,381.0
Gaasperplas,71.0,62.0,67.0,58.0,56.0,69.0,73.0,69.0,69.0,69.0
Gein,88.0,90.0,93.0,91.0,82.0,94.0,81.0,101.0,91.0,91.0
Gerrit v.d. Veenstraat,41.0,50.0,56.0,35.0,44.0,43.0,48.0,41.0,43.0,39.0
Heemstedestraat,55.0,46.0,52.0,43.0,47.0,47.0,62.0,48.0,44.0,36.0
Henk Sneevlietweg,134.0,143.0,125.0,132.0,138.0,95.0,125.0,130.0,121.0,151.0
IJsbaanpad,5.0,12.0,9.0,6.0,1.0,2.0,6.0,5.0,8.0,10.0
Isolatorweg,63.0,59.0,50.0,60.0,44.0,65.0,59.0,59.0,58.0,63.0
Jan v.Galenstraat,158.0,138.0,147.0,153.0,137.0,164.0,170.0,159.0,142.0,163.0
Keizersgracht,23.0,39.0,28.0,24.0,28.0,33.0,23.0,28.0,31.0,42.0
Koningsplein,73.0,83.0,82.0,82.0,86.0,87.0,91.0,82.0,66.0,69.0
Kraaienneststation,182.0,175.0,170.0,158.0,160.0,168.0,199.0,158.0,188.0,180.0
Leidseplein,89.0,94.0,94.0,100.0,99.0,73.0,121.0,95.0,82.0,96.0
Maasstraat,13.0,19.0,9.0,7.0,10.0,11.0,17.0,12.0,8.0,16.0
Marie Heinekenplein,149.0,142.0,135.0,144.0,112.0,124.0,139.0,147.0,149.0,145.0
Minervaplein,17.0,17.0,16.0,9.0,12.0,14.0,6.0,13.0,16.0,21.0
Muntplein,94.0,73.0,75.0,82.0,74.0,67.0,87.0,88.0,85.0,92.0
Museumplein,89.0,98.0,82.0,97.0,102.0,102.0,97.0,99.0,80.0,93.0
Nieuwezijds Kolk,38.0,35.0,35.0,39.0,29.0,32.0,36.0,26.0,37.0,30.0
Nieuwmarkt,84.0,86.0,85.0,98.0,83.0,109.0,92.0,80.0,90.0,70.0
Noord,602.0,578.0,601.0,590.0,594.0,614.0,578.0,609.0,607.0,585.0
Noorderpark,253.0,266.0,263.0,226.0,231.0,232.0,232.0,237.0,261.0,228.0
Olympiaplein,31.0,36.0,31.0,47.0,34.0,33.0,38.0,29.0,35.0,23.0
Olympiaweg,21.0,19.0,26.0,27.0,26.0,27.0,23.0,28.0,16.0,21.0
Olympisch stadion,33.0,24.0,37.0,33.0,30.0,31.0,29.0,33.0,28.0,32.0
Overamstel,49.0,44.0,44.0,51.0,54.0,32.0,55.0,56.0,42.0,67.0
Postjesweg,65.0,87.0,74.0,78.0,78.0,72.0,74.0,62.0,79.0,80.0
Prinsengracht,39.0,38.0,36.0,34.0,33.0,49.0,44.0,42.0,29.0,40.0
Reigersbos,131.0,137.0,132.0,149.0,150.0,144.0,114.0,130.0,154.0,135.0
Rijksmuseum,109.0,101.0,116.0,122.0,106.0,107.0,105.0,129.0,108.0,107.0
Roelof Hartplein,138.0,141.0,151.0,141.0,158.0,151.0,155.0,149.0,156.0,163.0
Rokin,572.0,567.0,583.0,582.0,631.0,575.0,628.0,607.0,609.0,604.0
Scheldestraat,11.0,9.0,11.0,10.0,12.0,7.0,7.0,11.0,15.0,12.0
Spaklerweg,45.0,45.0,54.0,51.0,51.0,57.0,56.0,52.0,58.0,66.0
Spui,57.0,66.0,60.0,62.0,68.0,63.0,59.0,58.0,46.0,55.0
Station Bijlmer ArenA,475.0,500.0,436.0,503.0,473.0,424.0,484.0,454.0,480.0,432.0
Station Diemen-Zuid,139.0,119.0,143.0,156.0,126.0,120.0,153.0,143.0,132.0,140.0
Station Duivendrecht,100.0,102.0,100.0,104.0,133.0,101.0,99.0,113.0,98.0,100.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,253.0,235.0,250.0,267.0,272.0,216.0,237.0,252.0,235.0,245.0
Station RAI,198.0,200.0,196.0,182.0,199.0,169.0,191.0,202.0,173.0,190.0
