VesselID,width,length,height_unloaded,height_loaded,draught_unloaded,draught_loaded,emissionfactor,installed_power,own_weight,capacity_loaded,capacity_unloaded,speed_loaded,speed_unloaded,resistance_loaded,resistance_unloaded,is_loaded,avv_class,cemt_class,type,scenario
3c8896ac-4973-11e9-8cff-b469212bff5b,6.6,70.0,3.0,6.1,1.5,2.7,0.71,118.0,90.0,390.0,0.0,3.333,4.305,36338.0,15187.0,0.0,B02,0,Duwbak: 6.70 * 48,"['Base Case', 'NS-High', 'NS-Low']"
3c8896ac-4973-11e9-8cff-b469212bff5b,6.6,70.0,3.0,6.1,1.5,2.7,0.71,118.0,90.0,390.0,0.0,3.333,4.305,36338.0,15187.0,1.0,B02,0,Duwbak: 6.70 * 48,"['Base Case', 'NS-High', 'NS-Low']"
4073635c-4973-11e9-b613-b469212bff5b,7.5,80.0,3.0,6.4,1.5,2.7,0.71,120.0,95.0,520.0,0.0,3.667,4.278,42647.0,18677.0,0.0,B03,0,Duwbak: 7.50 * 55,"['Base Case', 'NS-High', 'NS-Low']"
4073635c-4973-11e9-b613-b469212bff5b,7.5,80.0,3.0,6.4,1.5,2.7,0.71,120.0,95.0,520.0,0.0,3.667,4.278,42647.0,18677.0,1.0,B03,0,Duwbak: 7.50 * 55,"['Base Case', 'NS-High', 'NS-Low']"
463fde30-4973-11e9-ba75-b469212bff5b,8.2,85.0,3.0,6.6,1.5,2.7,0.71,160.0,95.0,812.5,0.0,3.778,4.361,47147.0,21147.0,0.0,B04,0,Duwbak: 8.20 * 62,"['Base Case', 'NS-High', 'NS-Low']"
463fde30-4973-11e9-ba75-b469212bff5b,8.2,85.0,3.0,6.6,1.5,2.7,0.71,160.0,95.0,812.5,0.0,3.778,4.361,47147.0,21147.0,1.0,B04,0,Duwbak: 8.20 * 62,"['Base Case', 'NS-High', 'NS-Low']"
49c3124a-4973-11e9-be8c-b469212bff5b,5.05,80.0,3.0,5.25,1.5,2.7,0.71,36.0,80.0,585.0,0.0,3.278,4.389,20357.0,15211.0,0.0,C1l,I,2 Spitsen lang,"['Base Case', 'NS-High', 'NS-Low']"
49c3124a-4973-11e9-be8c-b469212bff5b,5.05,80.0,3.0,5.25,1.5,2.7,0.71,36.0,80.0,585.0,0.0,3.278,4.389,20357.0,15211.0,1.0,C1l,I,2 Spitsen lang,"['Base Case', 'NS-High', 'NS-Low']"
4db2931a-4973-11e9-ae43-b469212bff5b,10.1,38.5,3.0,5.25,1.5,2.7,0.71,36.0,80.0,585.0,0.0,3.0,4.222,28204.0,15387.0,0.0,C1b,I,2 Spitsen breed,"['Base Case', 'NS-High', 'NS-Low']"
4db2931a-4973-11e9-ae43-b469212bff5b,10.1,38.5,3.0,5.25,1.5,2.7,0.71,36.0,80.0,585.0,0.0,3.0,4.222,28204.0,15387.0,1.0,C1b,I,2 Spitsen breed,"['Base Case', 'NS-High', 'NS-Low']"
