,LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME,vessel_type,terminal_type,name,length,width,ID,draught_empty,draught_full,height_empty,height_full,v,installed_power,terminal
1134,51.90491,4.521455,0.0,111.0,111.0,3.0,ROTTERDAM,NL,70.0,,TYCHA,3,239026,8.0,58.0,4.0,,-999,nan,nan,nan,,,TYCHA,70.0,8.0,239026,5,5,5,5,5.1,1000,Other
1135,51.91703,4.48338,0.0,103.0,103.0,4.0,ROTTERDAM,NL,39.0,,WILHELMINA,3,243558,6.0,34.0,3.0,,131,nan,nan,nan,,,WILHELMINA,39.0,6.0,243558,5,5,5,5,5.1,1000,Other
1136,51.90191,4.556638,0.0,0.0,0.0,2.0,VIANEN,NL,18.0,,VIRGO,7,3472858,3.0,12.0,1.0,,61,nan,nan,nan,,,VIRGO,18.0,3.0,3472858,5,5,5,5,5.1,1000,Other
1137,51.84303,4.397429,106.0,258.0,258.0,2.0,ROTTERDAM BOTLEK,NL,100.0,,LIQUIDOS,8,4627608,10.0,85.0,8.0,,25,nan,nan,nan,,,LIQUIDOS,100.0,10.0,4627608,5,5,5,5,5.1,1000,Other
1138,51.92317,4.435675,0.0,232.0,232.0,3.0,ROTTERDAM EO,NL,70.0,,KADIMA,7,236377,7.0,70.0,3.0,,61,nan,nan,nan,,,KADIMA,70.0,7.0,236377,5,5,5,5,5.1,1000,Other
1139,51.88917,4.316662,0.0,,,32.0,ROTTERDAM,DE,110.0,,EILTANK 70,8,3647077,12.0,90.0,9.0,6080.0,25,nan,nan,nan,,,EILTANK 70,110.0,12.0,3647077,5,5,5,5,5.1,1000,Other
1140,51.88915,4.31665,0.0,,,8.0,nan,nan,,,[SAT-AIS],8,TlRnME9EZ3pOVGcwT0Rnek5UZzBPQT09LVhBNlh3WE9jbUp2MkhmOGFpWlRTU0E9PQ==,,,,,-999,8,Tanker,Moored,,,[SAT-AIS],,,TlRnME9EZ3pOVGcwT0Rnek5UZzBPQT09LVhBNlh3WE9jbUp2MkhmOGFpWlRTU0E9PQ==,5,5,5,5,5.1,1000,Other
1141,51.91939,4.492589,0.0,0.0,0.0,3.0,ROTTERDAM,NL,38.0,,SPES SECUNDA,9,247612,6.0,29.0,4.0,,-999,nan,nan,nan,,,SPES SECUNDA,38.0,6.0,247612,5,5,5,5,5.1,1000,Other
1142,51.88638,4.407518,1.0,294.0,294.0,2.0,GROOT AMMERS,NL,57.0,,BGATRANS,7,251274,6.0,50.0,3.0,,61,nan,nan,nan,,,BGATRANS,57.0,6.0,251274,5,5,5,5,5.1,1000,Other
1143,51.85998,4.340755,105.0,325.0,325.0,2.0,MOERDIJK,NL,40.0,,HYDROVAC 6,8,247587,6.0,30.0,4.0,,25,nan,nan,nan,,,HYDROVAC 6,40.0,6.0,247587,5,5,5,5,5.1,1000,Other
1144,51.90591,4.465142,0.0,,,6.0,ROTTERDAM,NL,50.0,,DE AMELAND,6,241321,9.0,9.0,2.0,,24,nan,nan,nan,,,DE AMELAND,50.0,9.0,241321,5,5,5,5,5.1,1000,Other
1145,51.90472,4.465712,0.0,0.0,0.0,82.0,ROTTERDAM -ROTTERDAM,NL,32.0,,PANNENKOEKENBOOT II,6,232034,6.0,9.0,3.0,,24,nan,nan,nan,,,PANNENKOEKENBOOT II,32.0,6.0,232034,5,5,5,5,5.1,1000,Other
1146,51.89367,4.4455,0.0,162.0,282.0,4.0,NL RTM,LR,116.0,3.0,RHL FLENSBURG,8,3293,18.0,104.0,16.0,8154.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,RHL FLENSBURG,116.0,18.0,3293,5,5,5,5,5.1,1000,Other
1147,51.90588,4.54992,60.0,285.0,285.0,2.0,,NL,537.0,,CORINA,8,241577,5.0,27.0,4.0,,25,nan,nan,nan,,,CORINA,537.0,5.0,241577,5,5,5,5,5.1,1000,Other
1148,51.90645,4.42686,0.0,196.0,196.0,5.0,R.DAM,NL,15.0,,REINOD 5,7,245057,4.0,8.0,3.0,,61,nan,nan,nan,,,REINOD 5,15.0,4.0,245057,5,5,5,5,5.1,1000,Other
1149,51.88785,4.374875,0.0,94.0,285.0,3.0,ROTTERDAM,GI,105.0,0.0,LS ANNE,8,3636587,16.0,82.0,6.0,5757.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,LS ANNE,105.0,16.0,3636587,5,5,5,5,5.1,1000,Other
1150,51.90356,4.56611,68.0,97.0,97.0,2.0,BIRSFELDEN,NL,70.0,,GENDTIA,7,243553,7.0,60.0,2.0,,61,nan,nan,nan,,,GENDTIA,70.0,7.0,243553,5,5,5,5,5.1,1000,Other
1151,51.90868,4.557062,1.0,177.0,177.0,4.0,AMSTERDAM,NL,60.0,,MAGNIFIQUE II,6,219789,7.0,3.0,1.0,,24,nan,nan,nan,,,MAGNIFIQUE II,60.0,7.0,219789,5,5,5,5,5.1,1000,Other
1152,52.05965,4.312212,0.0,200.0,200.0,5.0,DEN HAAG,NL,24.0,,AVONTUUR,6,246714,5.0,14.0,1.0,,24,nan,nan,nan,,,AVONTUUR,24.0,5.0,246714,5,5,5,5,5.1,1000,Other
1153,51.92125,4.249183,0.0,341.0,109.0,6.0,RTD,NL,25.0,0.0,P3,3,268237,4.0,12.0,2.0,,-999,nan,nan,nan,,,P3,25.0,4.0,268237,5,5,5,5,5.1,1000,Other
1154,51.87967,4.415095,0.0,143.0,143.0,6.0,ROTTERDAM,NL,110.0,,PARADOX,7,236241,11.0,110.0,6.0,,61,nan,nan,nan,,,PARADOX,110.0,11.0,236241,5,5,5,5,5.1,1000,Other
1155,51.89997,4.322655,0.0,,,254.0,CLASS B,NL,0.0,,FELICE,9,233898,35.0,0.0,0.0,,-999,nan,nan,nan,,,FELICE,0.0,35.0,233898,5,5,5,5,5.1,1000,Other
1156,51.89653,4.217875,0.0,,,23.0,CLASS B,NL,12.0,,PRELUDE,9,5982314,4.0,7.0,3.0,,-999,nan,nan,nan,,,PRELUDE,12.0,4.0,5982314,5,5,5,5,5.1,1000,Other
1157,51.91467,4.220433,0.0,325.0,328.0,3.0,ROTTERDAM,MT,109.0,0.0,ATHLOS,8,283761,17.0,89.0,16.0,6995.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,ATHLOS,109.0,17.0,283761,5,5,5,5,5.1,1000,Other
1158,51.88404,4.42238,0.0,,,2.0,,NL,110.0,,AMPHIRO,8,3333982,13.0,98.0,3.0,4306.0,25,nan,nan,nan,,,AMPHIRO,110.0,13.0,3333982,5,5,5,5,5.1,1000,Other
1159,51.90596,4.418548,0.0,0.0,18.0,3.0,ROTTERDAM,NL,72.0,0.0,BYLGIA,3,3475550,18.0,23.0,8.0,3158.0,95,nan,nan,nan,,,BYLGIA,72.0,18.0,3475550,5,5,5,5,5.1,1000,Other
1160,51.8815,4.402035,0.0,72.0,72.0,2.0,ANTWERPEN,BE,135.0,,LOVE STORY,7,112698,12.0,124.0,8.0,3566.0,241,nan,nan,nan,,,LOVE STORY,135.0,12.0,112698,5,5,5,5,5.1,1000,Other
1161,51.9037,4.484793,0.0,245.0,245.0,5.0,ROTTERDAM,NL,10.0,,MSTX 10,4,3727738,4.0,3.0,2.0,,-999,nan,nan,nan,,,MSTX 10,10.0,4.0,3727738,5,5,5,5,5.1,1000,Other
1162,51.88491,4.295814,0.0,,,3.0,,NL,48.0,,AHOY TITAN,3,4925939,24.0,23.0,2.0,,131,nan,nan,nan,,,AHOY TITAN,48.0,24.0,4925939,5,5,5,5,5.1,1000,Other
1163,51.89495,4.476822,1.0,,,280.0,AMS,NL,27.0,,ROSANNA,4,233982,6.0,8.0,1.0,,-999,nan,nan,nan,,,ROSANNA,27.0,6.0,233982,5,5,5,5,5.1,1000,Other
1164,51.88428,4.434538,0.0,,,2.0,ROTTERDAM,NL,16.0,,BUPPY,3,5781682,4.0,12.0,3.0,,-999,nan,nan,nan,,,BUPPY,16.0,4.0,5781682,5,5,5,5,5.1,1000,Other
1165,51.91437,4.398853,46.0,111.0,111.0,2.0,CLASS B,NL,21.0,,SOPHIA,9,5604887,4.0,20.0,2.0,,-999,nan,nan,nan,,,SOPHIA,21.0,4.0,5604887,5,5,5,5,5.1,1000,Other
1166,51.90106,4.570555,0.0,,,4.0,ELSFLETH,DE,21.0,,WILGUM,3,4900570,6.0,10.0,3.0,,74,nan,nan,nan,,,WILGUM,21.0,6.0,4900570,5,5,5,5,5.1,1000,Other
1167,51.87767,4.425483,9.0,183.0,183.0,13.0,RDAMKAMPENRDAM,NL,110.0,,LAHRINGEN,7,161453,12.0,100.0,6.0,,61,nan,nan,nan,,,LAHRINGEN,110.0,12.0,161453,5,5,5,5,5.1,1000,Other
1168,51.89441,4.476572,0.0,166.0,166.0,4.0,R.DAM HAVENS,NL,15.0,,REINOD 6,7,219729,4.0,60.0,2.0,,61,nan,nan,nan,,,REINOD 6,15.0,4.0,219729,5,5,5,5,5.1,1000,Other
1169,51.89799,4.444695,0.0,107.0,107.0,3.0,CLASS B,KN,26.0,,IAN P,3,5940031,11.0,12.0,9.0,,-999,nan,nan,nan,,,IAN P,26.0,11.0,5940031,5,5,5,5,5.1,1000,Other
1170,51.83103,4.538136,66.0,79.0,79.0,2.0,SCHIPDONK,NL,55.0,,ELISA,7,5923734,7.0,46.0,3.0,,-999,nan,nan,nan,,,ELISA,55.0,7.0,5923734,5,5,5,5,5.1,1000,Other
1171,51.89184,4.402712,12.0,46.0,46.0,1.0,,NL,110.0,,HYADE,7,1687533,11.0,98.0,7.0,,61,nan,nan,nan,,,HYADE,110.0,11.0,1687533,5,5,5,5,5.1,1000,Other
1172,51.89584,4.331682,1.0,115.0,115.0,2.0,NL VLA,CY,104.0,,EMMA,7,364668,13.0,98.0,9.0,5745.0,9,nan,nan,nan,General Cargo,Cargo,EMMA,104.0,13.0,364668,5,5,5,5,5.1,1000,Other
1173,51.83195,4.554047,0.0,,,5.0,BARENDRECHT,NL,22.0,,AMPHIRO,9,4012302,5.0,14.0,3.0,,-999,nan,nan,nan,,,AMPHIRO,22.0,5.0,4012302,5,5,5,5,5.1,1000,Other
1174,51.89223,4.435204,41.0,155.0,155.0,2.0,ROTTERDAM,NL,10.0,,RVE7,3,252454,4.0,4.0,2.0,,-999,nan,nan,nan,,,RVE7,10.0,4.0,252454,5,5,5,5,5.1,1000,Other
1175,51.9207,4.251107,0.0,,,6.0,,NL,16.0,,KLAZINA,3,5753888,4.0,7.0,2.0,,-999,nan,nan,nan,,,KLAZINA,16.0,4.0,5753888,5,5,5,5,5.1,1000,Other
1176,51.88033,4.444925,1.0,269.0,269.0,3.0,ROTTERDAM,NL,96.0,,SHADOW,7,239393,11.0,20.0,5.0,,61,nan,nan,nan,,,SHADOW,96.0,11.0,239393,5,5,5,5,5.1,1000,Other
1177,51.92041,4.496523,0.0,,,4.0,,NL,22.0,,BLAUWE VIS,0,5639681,5.0,17.0,1.0,,-999,nan,nan,nan,,,BLAUWE VIS,22.0,5.0,5639681,5,5,5,5,5.1,1000,Other
1178,51.9107,4.412963,0.0,83.0,157.0,3.0,NL RTM,LV,88.0,0.0,RURIK,7,362704,12.0,76.0,9.0,2930.0,9,nan,nan,nan,General Cargo,Cargo,RURIK,88.0,12.0,362704,5,5,5,5,5.1,1000,Other
1179,51.89295,4.367883,0.0,,,3.0,ROTTERDAM,NL,85.0,,SABA,8,1682722,9.0,72.0,7.0,1689.0,25,nan,nan,nan,,,SABA,85.0,9.0,1682722,5,5,5,5,5.1,1000,Other
1180,51.89843,4.39155,0.0,59.0,266.0,3.0,GBRID,PT,100.0,0.0,LUCA,7,279304,15.0,88.0,12.0,5394.0,9,nan,nan,nan,General Cargo,Cargo,LUCA,100.0,15.0,279304,5,5,5,5,5.1,1000,Other
1181,51.88014,4.265545,3.0,251.0,251.0,5.0,GEULHAVEN BOTLEK,NL,86.0,,MEGAN,8,237826,12.0,76.0,5.0,,25,nan,nan,nan,,,MEGAN,86.0,12.0,237826,5,5,5,5,5.1,1000,Other
1182,51.83449,4.475393,104.0,255.0,255.0,577.0,DREQHU AREA,NL,85.0,58.0,RONNIE WBA,0,236004,10.0,65.0,4.0,,-999,nan,nan,nan,,,RONNIE WBA,85.0,10.0,236004,5,5,5,5,5.1,1000,Other
1183,51.88112,4.349408,0.0,,,661.0,,NL,10.0,,RVE 22,3,253067,3.0,2.0,1.0,,-999,nan,nan,nan,,,RVE 22,10.0,3.0,253067,5,5,5,5,5.1,1000,Other
1184,51.90891,4.414095,0.0,197.0,197.0,2.0,,NL,20.0,,ALBATROS,3,248878,9.0,20.0,5.0,,74,nan,nan,nan,,,ALBATROS,20.0,9.0,248878,5,5,5,5,5.1,1000,Other
1185,51.89385,4.454183,0.0,,,3.0,,NL,24.0,,VOTRANS,7,3351439,6.0,24.0,3.0,,61,nan,nan,nan,,,VOTRANS,24.0,6.0,3351439,5,5,5,5,5.1,1000,Other
1186,51.89477,4.412785,0.0,218.0,218.0,26.0,ANTWERP HAVEN,NL,113.0,,DB KYLE,7,239421,11.0,113.0,5.0,,61,nan,nan,nan,,,DB KYLE,113.0,11.0,239421,5,5,5,5,5.1,1000,Other
1187,51.86637,4.32624,85.0,264.0,256.0,2.0,ROTTERDAM,NL,135.0,0.0,CRIGEE,7,98106,14.0,125.0,6.0,,61,nan,nan,nan,,,CRIGEE,135.0,14.0,98106,5,5,5,5,5.1,1000,Other
1188,51.89936,4.222718,0.0,,,4.0,ARA,BE,110.0,,THEODELA,8,3351608,11.0,12.0,7.0,2934.0,25,nan,nan,nan,,,THEODELA,110.0,11.0,3351608,5,5,5,5,5.1,1000,Other
1189,51.88168,4.26827,0.0,168.0,168.0,6.0,ANTWERPEN,NL,81.0,,FRISIA,8,237760,10.0,72.0,3.0,1709.0,25,nan,nan,nan,,,FRISIA,81.0,10.0,237760,5,5,5,5,5.1,1000,Other
1190,51.90451,4.474922,0.0,,,4.0,ROTTERDAM,NL,10.0,,MSTX 11,4,220879,4.0,4.0,2.0,,-999,nan,nan,nan,,,MSTX 11,10.0,4.0,220879,5,5,5,5,5.1,1000,Other
