station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,5.0
Amstelstation,174.0,202.0,176.0,168.0,157.0,134.0,187.0,149.0,138.0,164.0
Amstelveenseweg,33.0,23.0,26.0,29.0,29.0,37.0,31.0,30.0,36.0,24.0
Beethovenstraat,,,,,3.0,1.0,2.0,1.0,2.0,2.0
Bullewijk,119.0,84.0,109.0,105.0,123.0,110.0,131.0,96.0,111.0,107.0
Burg.de Vlugtlaan,20.0,16.0,29.0,21.0,29.0,19.0,26.0,18.0,26.0,28.0
Centraal Station,991.0,967.0,997.0,997.0,954.0,976.0,950.0,978.0,999.0,987.0
Cornelis Troostplein,5.0,10.0,8.0,9.0,18.0,9.0,13.0,9.0,14.0,11.0
Dam,271.0,267.0,275.0,274.0,290.0,272.0,279.0,244.0,263.0,281.0
De Boelelaan/VU,,,,,,,,,,
De Pijp,611.0,593.0,540.0,554.0,607.0,617.0,566.0,574.0,582.0,578.0
Europaplein,171.0,189.0,181.0,184.0,165.0,174.0,175.0,183.0,180.0,208.0
Gaasperplas,61.0,31.0,44.0,42.0,39.0,47.0,46.0,40.0,52.0,41.0
Gein,42.0,43.0,48.0,36.0,34.0,39.0,44.0,39.0,43.0,38.0
Gerrit v.d. Veenstraat,11.0,8.0,15.0,12.0,11.0,19.0,15.0,7.0,11.0,8.0
Heemstedestraat,16.0,13.0,14.0,20.0,15.0,22.0,16.0,18.0,23.0,28.0
Henk Sneevlietweg,24.0,36.0,25.0,23.0,25.0,32.0,33.0,32.0,33.0,38.0
IJsbaanpad,,,,,,,,,,
Isolatorweg,21.0,20.0,20.0,7.0,20.0,24.0,18.0,13.0,21.0,14.0
Jan v.Galenstraat,26.0,40.0,33.0,38.0,33.0,32.0,30.0,29.0,30.0,37.0
Keizersgracht,26.0,15.0,23.0,30.0,28.0,23.0,24.0,24.0,19.0,31.0
Koningsplein,71.0,62.0,78.0,79.0,86.0,86.0,101.0,69.0,65.0,74.0
Kraaienneststation,102.0,83.0,90.0,80.0,81.0,102.0,74.0,86.0,93.0,71.0
Leidseplein,149.0,209.0,179.0,190.0,186.0,173.0,167.0,181.0,199.0,163.0
Maasstraat,5.0,3.0,3.0,7.0,6.0,4.0,6.0,5.0,1.0,5.0
Marie Heinekenplein,98.0,104.0,119.0,94.0,102.0,95.0,93.0,112.0,117.0,115.0
Minervaplein,,1.0,2.0,2.0,,1.0,1.0,1.0,,
Muntplein,87.0,81.0,101.0,92.0,95.0,77.0,90.0,96.0,82.0,88.0
Museumplein,44.0,35.0,32.0,38.0,35.0,28.0,31.0,28.0,42.0,39.0
Nieuwezijds Kolk,38.0,40.0,36.0,39.0,41.0,36.0,48.0,39.0,47.0,38.0
Nieuwmarkt,169.0,147.0,158.0,154.0,161.0,135.0,157.0,152.0,132.0,151.0
Noord,296.0,322.0,294.0,289.0,290.0,303.0,308.0,319.0,304.0,278.0
Noorderpark,159.0,165.0,173.0,156.0,173.0,152.0,142.0,169.0,138.0,178.0
Olympiaplein,10.0,7.0,14.0,10.0,11.0,12.0,12.0,9.0,4.0,9.0
Olympiaweg,11.0,6.0,7.0,12.0,8.0,10.0,3.0,6.0,3.0,6.0
Olympisch stadion,11.0,20.0,22.0,16.0,13.0,12.0,16.0,14.0,11.0,22.0
Overamstel,41.0,51.0,34.0,43.0,36.0,28.0,40.0,54.0,35.0,49.0
Postjesweg,16.0,11.0,24.0,16.0,15.0,13.0,18.0,16.0,18.0,19.0
Prinsengracht,54.0,53.0,52.0,56.0,50.0,55.0,54.0,64.0,49.0,45.0
Reigersbos,60.0,68.0,52.0,41.0,64.0,59.0,63.0,66.0,42.0,54.0
Rijksmuseum,48.0,42.0,44.0,42.0,40.0,52.0,37.0,55.0,51.0,62.0
Roelof Hartplein,59.0,57.0,51.0,70.0,56.0,63.0,56.0,66.0,72.0,65.0
Rokin,704.0,664.0,697.0,674.0,649.0,701.0,704.0,675.0,707.0,697.0
Scheldestraat,5.0,7.0,7.0,8.0,8.0,4.0,5.0,2.0,8.0,7.0
Spaklerweg,47.0,51.0,43.0,38.0,47.0,38.0,46.0,34.0,36.0,28.0
Spui,49.0,52.0,47.0,46.0,55.0,45.0,41.0,41.0,51.0,65.0
Station Bijlmer ArenA,264.0,314.0,272.0,331.0,306.0,292.0,290.0,280.0,294.0,318.0
Station Diemen-Zuid,83.0,98.0,102.0,98.0,93.0,109.0,111.0,110.0,109.0,83.0
Station Duivendrecht,50.0,68.0,75.0,63.0,47.0,61.0,59.0,87.0,81.0,51.0
Station Ganzenhoef,,,,,,,,,,
