station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,5.0,3.0,5.0,6.0,5.0,2.0,2.0,5.0,,4.0
Amstelstation,180.0,187.0,186.0,189.0,174.0,181.0,173.0,194.0,185.0,195.0
Amstelveenseweg,27.0,33.0,26.0,17.0,29.0,22.0,28.0,27.0,27.0,31.0
Beethovenstraat,,,,,,,,,,
Bullewijk,117.0,127.0,136.0,129.0,124.0,138.0,125.0,119.0,156.0,140.0
Burg.de Vlugtlaan,28.0,33.0,27.0,34.0,42.0,36.0,34.0,33.0,36.0,36.0
Centraal Station,632.0,639.0,609.0,600.0,588.0,623.0,595.0,601.0,645.0,628.0
Cornelis Troostplein,4.0,8.0,11.0,15.0,6.0,5.0,8.0,8.0,3.0,13.0
Dam,160.0,169.0,165.0,173.0,164.0,185.0,160.0,191.0,197.0,164.0
De Boelelaan/VU,,2.0,3.0,1.0,,2.0,,,1.0,
De Pijp,555.0,570.0,511.0,560.0,592.0,577.0,540.0,549.0,544.0,518.0
Europaplein,290.0,289.0,228.0,259.0,245.0,295.0,256.0,288.0,249.0,265.0
Gaasperplas,87.0,75.0,80.0,81.0,84.0,80.0,109.0,71.0,94.0,90.0
Gein,59.0,70.0,64.0,78.0,76.0,61.0,72.0,71.0,89.0,77.0
Gerrit v.d. Veenstraat,10.0,12.0,10.0,7.0,13.0,9.0,12.0,6.0,12.0,19.0
Heemstedestraat,26.0,21.0,42.0,27.0,31.0,26.0,29.0,31.0,32.0,27.0
Henk Sneevlietweg,51.0,39.0,50.0,43.0,44.0,53.0,49.0,51.0,43.0,55.0
IJsbaanpad,,,,,,,,,,
Isolatorweg,14.0,20.0,10.0,9.0,10.0,14.0,12.0,9.0,16.0,15.0
Jan v.Galenstraat,53.0,48.0,47.0,58.0,37.0,53.0,40.0,47.0,45.0,37.0
Keizersgracht,16.0,17.0,8.0,20.0,10.0,19.0,18.0,14.0,9.0,10.0
Koningsplein,49.0,32.0,59.0,44.0,47.0,50.0,43.0,46.0,50.0,61.0
Kraaienneststation,152.0,127.0,166.0,158.0,158.0,148.0,156.0,173.0,151.0,138.0
Leidseplein,131.0,125.0,133.0,117.0,130.0,138.0,134.0,131.0,110.0,124.0
Maasstraat,3.0,5.0,4.0,2.0,2.0,5.0,2.0,2.0,6.0,3.0
Marie Heinekenplein,37.0,39.0,38.0,45.0,33.0,49.0,30.0,33.0,43.0,38.0
Minervaplein,4.0,3.0,1.0,3.0,2.0,,2.0,,,1.0
Muntplein,79.0,82.0,80.0,77.0,74.0,69.0,79.0,68.0,89.0,87.0
Museumplein,31.0,33.0,29.0,35.0,37.0,32.0,40.0,28.0,29.0,34.0
Nieuwezijds Kolk,43.0,42.0,28.0,47.0,45.0,30.0,34.0,41.0,35.0,45.0
Nieuwmarkt,112.0,102.0,102.0,110.0,112.0,93.0,107.0,112.0,103.0,120.0
Noord,537.0,592.0,594.0,595.0,580.0,546.0,591.0,569.0,552.0,598.0
Noorderpark,215.0,217.0,237.0,256.0,223.0,216.0,239.0,233.0,221.0,224.0
Olympiaplein,19.0,22.0,19.0,19.0,20.0,16.0,15.0,13.0,9.0,13.0
Olympiaweg,8.0,7.0,20.0,10.0,16.0,16.0,8.0,9.0,12.0,12.0
Olympisch stadion,15.0,25.0,30.0,24.0,27.0,27.0,24.0,27.0,27.0,24.0
Overamstel,51.0,59.0,67.0,39.0,67.0,52.0,59.0,69.0,58.0,64.0
Postjesweg,36.0,29.0,38.0,39.0,29.0,32.0,25.0,48.0,33.0,33.0
Prinsengracht,34.0,50.0,33.0,38.0,42.0,52.0,52.0,37.0,52.0,47.0
Reigersbos,99.0,80.0,98.0,89.0,80.0,86.0,94.0,94.0,86.0,98.0
Rijksmuseum,50.0,34.0,37.0,39.0,36.0,23.0,30.0,33.0,33.0,23.0
Roelof Hartplein,68.0,91.0,67.0,77.0,59.0,58.0,75.0,73.0,71.0,61.0
Rokin,456.0,469.0,488.0,475.0,476.0,475.0,476.0,447.0,435.0,449.0
Scheldestraat,5.0,8.0,4.0,5.0,6.0,4.0,4.0,6.0,8.0,3.0
Spaklerweg,47.0,59.0,45.0,49.0,47.0,48.0,58.0,45.0,39.0,54.0
Spui,30.0,34.0,29.0,37.0,35.0,25.0,27.0,16.0,33.0,26.0
Station Bijlmer ArenA,477.0,484.0,464.0,464.0,477.0,479.0,465.0,479.0,479.0,477.0
Station Diemen-Zuid,154.0,131.0,138.0,128.0,142.0,142.0,140.0,135.0,154.0,127.0
Station Duivendrecht,52.0,67.0,74.0,67.0,73.0,61.0,66.0,61.0,68.0,73.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,87.0,86.0,100.0,91.0,68.0,94.0,74.0,87.0,90.0,83.0
Station RAI,59.0,62.0,71.0,71.0,76.0,56.0,54.0,78.0,65.0,60.0
Station Sloterdijk,65.0,72.0,71.0,70.0,83.0,80.0,72.0,78.0,68.0,89.0
Strandvliet,122.0,133.0,147.0,122.0,122.0,143.0,139.0,129.0,126.0,123.0
Van Baerlestraat,20.0,20.0,25.0,21.0,27.0,29.0,33.0,32.0,15.0,20.0
Van der Madeweg,123.0,115.0,94.0,109.0,109.0,97.0,101.0,116.0,105.0,110.0
Venserpolder,95.0,107.0,95.0,97.0,97.0,79.0,93.0,109.0,91.0,112.0
Verrijn Stuartweg,19.0,14.0,23.0,20.0,22.0,18.0,26.0,22.0,18.0,18.0
Victorieplein,14.0,14.0,13.0,14.0,14.0,16.0,21.0,13.0,10.0,10.0
Vijzelgracht,261.0,230.0,228.0,232.0,220.0,254.0,220.0,237.0,219.0,203.0
VU medisch centrum,29.0,26.0,15.0,28.0,29.0,26.0,34.0,20.0,24.0,24.0
Waalstraat,5.0,7.0,6.0,3.0,7.0,7.0,4.0,7.0,3.0,5.0
Waterlooplein,116.0,98.0,127.0,100.0,110.0,104.0,125.0,101.0,132.0,94.0
Weesperplein,53.0,64.0,62.0,75.0,75.0,61.0,78.0,66.0,56.0,64.0
Wibautstraat,125.0,103.0,104.0,101.0,116.0,112.0,112.0,94.0,103.0,113.0
Station Zuid,631.0,553.0,610.0,569.0,581.0,591.0,598.0,585.0,615.0,613.0
Station Lelylaan,35.0,53.0,36.0,50.0,62.0,47.0,46.0,50.0,58.0,45.0
