station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,1.0,3.0,,,,2.0,1.0,1.0,2.0,
Amstelstation,176.0,171.0,181.0,151.0,167.0,188.0,173.0,171.0,162.0,177.0
Amstelveenseweg,23.0,34.0,27.0,35.0,41.0,31.0,31.0,38.0,27.0,29.0
Beethovenstraat,2.0,1.0,1.0,3.0,1.0,1.0,,2.0,,3.0
Bullewijk,104.0,122.0,105.0,113.0,121.0,99.0,111.0,113.0,114.0,112.0
Burg.de Vlugtlaan,31.0,19.0,26.0,17.0,21.0,28.0,27.0,24.0,25.0,28.0
Centraal Station,970.0,884.0,973.0,988.0,1008.0,962.0,952.0,1011.0,937.0,927.0
Cornelis Troostplein,11.0,12.0,12.0,14.0,12.0,7.0,12.0,9.0,11.0,11.0
Dam,256.0,265.0,298.0,285.0,264.0,275.0,282.0,253.0,269.0,257.0
De Boelelaan/VU,,,,,,,,,,
De Pijp,584.0,565.0,541.0,512.0,582.0,509.0,583.0,578.0,558.0,542.0
Europaplein,191.0,149.0,174.0,188.0,192.0,174.0,153.0,194.0,152.0,181.0
Gaasperplas,59.0,49.0,73.0,46.0,51.0,47.0,50.0,52.0,34.0,42.0
Gein,43.0,38.0,38.0,58.0,45.0,34.0,51.0,56.0,45.0,38.0
Gerrit v.d. Veenstraat,9.0,9.0,17.0,7.0,12.0,11.0,9.0,7.0,14.0,8.0
Heemstedestraat,13.0,26.0,15.0,21.0,15.0,17.0,16.0,16.0,18.0,20.0
Henk Sneevlietweg,30.0,47.0,24.0,20.0,30.0,29.0,25.0,28.0,21.0,36.0
IJsbaanpad,,,,,,,,,,
Isolatorweg,21.0,17.0,29.0,16.0,12.0,17.0,19.0,16.0,13.0,18.0
Jan v.Galenstraat,30.0,28.0,33.0,31.0,30.0,34.0,46.0,35.0,34.0,28.0
Keizersgracht,28.0,17.0,18.0,23.0,21.0,26.0,25.0,17.0,33.0,25.0
Koningsplein,87.0,77.0,64.0,89.0,65.0,74.0,75.0,77.0,87.0,66.0
Kraaienneststation,77.0,82.0,80.0,90.0,83.0,98.0,85.0,79.0,71.0,76.0
Leidseplein,154.0,181.0,185.0,170.0,176.0,176.0,155.0,170.0,177.0,204.0
Maasstraat,7.0,7.0,8.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0
Marie Heinekenplein,103.0,93.0,104.0,122.0,88.0,94.0,97.0,80.0,115.0,107.0
Minervaplein,,,1.0,1.0,1.0,1.0,1.0,,,1.0
Muntplein,86.0,86.0,72.0,89.0,97.0,106.0,77.0,105.0,89.0,95.0
Museumplein,37.0,30.0,45.0,31.0,32.0,47.0,47.0,40.0,28.0,43.0
Nieuwezijds Kolk,37.0,46.0,37.0,37.0,38.0,40.0,31.0,36.0,44.0,45.0
Nieuwmarkt,160.0,178.0,145.0,137.0,144.0,151.0,159.0,158.0,160.0,167.0
Noord,333.0,307.0,319.0,293.0,299.0,293.0,305.0,303.0,325.0,321.0
Noorderpark,147.0,176.0,160.0,162.0,175.0,173.0,157.0,131.0,174.0,157.0
Olympiaplein,15.0,6.0,13.0,6.0,11.0,10.0,7.0,10.0,9.0,4.0
Olympiaweg,9.0,10.0,10.0,8.0,5.0,7.0,8.0,9.0,10.0,10.0
Olympisch stadion,12.0,13.0,7.0,14.0,20.0,13.0,12.0,17.0,13.0,14.0
Overamstel,41.0,37.0,47.0,36.0,40.0,47.0,50.0,40.0,46.0,41.0
Postjesweg,14.0,23.0,15.0,20.0,10.0,21.0,26.0,21.0,26.0,20.0
Prinsengracht,68.0,46.0,47.0,69.0,58.0,41.0,50.0,61.0,39.0,47.0
Reigersbos,66.0,61.0,56.0,41.0,55.0,55.0,48.0,50.0,58.0,56.0
Rijksmuseum,33.0,50.0,61.0,37.0,37.0,58.0,45.0,39.0,38.0,53.0
Roelof Hartplein,63.0,53.0,69.0,69.0,64.0,79.0,56.0,56.0,67.0,62.0
Rokin,701.0,766.0,682.0,714.0,679.0,735.0,690.0,703.0,706.0,667.0
Scheldestraat,6.0,6.0,6.0,4.0,3.0,7.0,4.0,8.0,4.0,4.0
Spaklerweg,40.0,53.0,60.0,42.0,35.0,32.0,43.0,34.0,45.0,40.0
Spui,44.0,47.0,38.0,47.0,69.0,53.0,54.0,40.0,47.0,43.0
Station Bijlmer ArenA,278.0,299.0,277.0,283.0,306.0,283.0,304.0,291.0,281.0,302.0
Station Diemen-Zuid,98.0,99.0,90.0,100.0,100.0,101.0,88.0,109.0,97.0,98.0
Station Duivendrecht,63.0,48.0,60.0,64.0,64.0,76.0,59.0,70.0,64.0,68.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,55.0,78.0,70.0,48.0,59.0,71.0,66.0,74.0,74.0,78.0
Station RAI,62.0,53.0,53.0,67.0,58.0,63.0,57.0,47.0,50.0,59.0
Station Sloterdijk,79.0,87.0,92.0,84.0,80.0,73.0,81.0,72.0,93.0,99.0
Strandvliet,72.0,91.0,73.0,62.0,68.0,56.0,74.0,81.0,89.0,66.0
Van Baerlestraat,39.0,43.0,40.0,42.0,39.0,47.0,43.0,33.0,41.0,50.0
Van der Madeweg,57.0,65.0,64.0,58.0,64.0,70.0,77.0,48.0,59.0,47.0
Venserpolder,65.0,57.0,66.0,67.0,45.0,44.0,56.0,53.0,64.0,54.0
Verrijn Stuartweg,6.0,6.0,11.0,7.0,11.0,13.0,10.0,5.0,11.0,8.0
Victorieplein,13.0,12.0,13.0,13.0,10.0,15.0,15.0,10.0,22.0,15.0
Vijzelgracht,278.0,274.0,296.0,291.0,310.0,267.0,335.0,298.0,294.0,297.0
VU medisch centrum,2.0,4.0,2.0,9.0,2.0,2.0,2.0,2.0,6.0,2.0
Waalstraat,1.0,2.0,4.0,3.0,6.0,3.0,1.0,3.0,8.0,3.0
Waterlooplein,121.0,131.0,110.0,147.0,100.0,122.0,142.0,136.0,114.0,135.0
Weesperplein,66.0,52.0,59.0,60.0,68.0,57.0,74.0,41.0,65.0,64.0
Wibautstraat,89.0,77.0,71.0,88.0,79.0,80.0,84.0,77.0,89.0,91.0
Station Zuid,751.0,764.0,758.0,764.0,751.0,775.0,708.0,787.0,759.0,766.0
Station Lelylaan,50.0,35.0,42.0,47.0,31.0,40.0,36.0,37.0,36.0,36.0
