,shipname,shiptype,chamber,enter time waiting area,enter time,exit time,speed=0 start,speed=0 stop,locking time,waiting time,v enter,direction,length,width,draught,hazardous cargo,old index
23,testschip-3731,79,2,2019-08-06 04:17:09+00:00,2019-08-06 04:25:21+00:00,2019-08-06 04:41:50+00:00,2019-08-06 04:29:31+00:00,2019-08-06 04:37:18.888889+00:00,16.483333333333334,,[3.98764368],1,106.0,13.0,1.600000023841858,5,21
24,testschip-3013,80,1,2019-08-06 04:18:42+00:00,2019-08-06 04:37:30+00:00,2019-08-06 05:00:01+00:00,2019-08-06 04:42:52+00:00,2019-08-06 04:53:51.000036+00:00,22.516666666666666,0 days 00:06:49,,2,136.0,16.0,3.849999904632568,5,8
25,testschip-1414,20,1,2019-08-06 04:20:22+00:00,2019-08-06 04:40:13+00:00,2019-08-06 05:01:32+00:00,2019-08-06 04:45:52+00:00,2019-08-06 04:54:40.999954+00:00,21.316666666666666,0 days 00:02:50,,2,112.0,12.0,3.0,1,9
26,testschip-1508,80,3,2019-08-06 04:49:27+00:00,2019-08-06 04:56:27+00:00,2019-08-06 05:16:35+00:00,2019-08-06 05:01:56+00:00,2019-08-06 05:13:40.375001+00:00,20.133333333333333,,[4.4612508],1,85.0,10.0,2.0,5,37
27,testschip-1194,80,2,2019-08-06 04:48:58+00:00,2019-08-06 04:57:29+00:00,2019-08-06 05:13:49+00:00,2019-08-06 05:04:00+00:00,2019-08-06 05:08:08.999958+00:00,16.333333333333332,,[4.49554723],2,,12.0,2.900000095367431,1,22
28,testschip-1624,80,3,2019-08-06 05:09:14+00:00,2019-08-06 05:17:26+00:00,2019-08-06 05:54:37+00:00,2019-08-06 05:24:04+00:00,2019-08-06 05:50:44+00:00,37.18333333333333,,[4.7713373],2,110.0,12.0,2.5,5,38
29,testschip-999,20,1,2019-08-06 05:11:35+00:00,2019-08-06 05:20:15+00:00,2019-08-06 05:42:35+00:00,2019-08-06 05:27:45+00:00,2019-08-06 05:38:31.666657+00:00,22.333333333333332,,[3.90638236],1,135.0,15.0,,5,10
30,testschip-3607,79,3,2019-08-06 05:13:13+00:00,2019-08-06 05:20:24+00:00,2019-08-06 05:55:24+00:00,2019-08-06 05:27:05+00:00,2019-08-06 05:52:47.000015+00:00,35.0,,[5.29640451],2,80.0,9.0,1.0,5,39
31,testschip-3450,80,3,2019-08-06 05:21:11+00:00,2019-08-06 05:28:21+00:00,2019-08-06 05:57:04+00:00,2019-08-06 05:34:51+00:00,2019-08-06 05:53:40.000009+00:00,28.716666666666665,,[5.43662958],2,110.0,12.0,3.099999904632568,5,40
32,testschip-2188,80,2,2019-08-06 05:24:03+00:00,2019-08-06 05:30:43+00:00,2019-08-06 05:58:16+00:00,2019-08-06 05:39:14+00:00,2019-08-06 05:54:14.199999+00:00,27.55,,[4.98775743],1,135.0,15.0,4.0,5,23
