,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:38:36+00:00,2019-08-06 00:43:16+00:00,2019-08-06 00:44:19+00:00,2019-08-06 00:45:48+00:00,2019-08-06 00:46:38+00:00,2019-08-06 00:47:26+00:00,2019-08-06 00:48:07+00:00,2019-08-06 00:48:59+00:00,2019-08-06 00:49:38+00:00,2019-08-06 00:50:19+00:00,2019-08-06 00:50:57+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.299999952316284,6.599999904632568,8.0,8.300000190734863,8.399999618530273,8.899999618530273,9.199999809265137,9.199999809265137,9.300000190734863,9.300000190734863
1,2019-08-06 03:01:18+00:00,2019-08-06 03:00:45+00:00,2019-08-06 02:59:58+00:00,2019-08-06 02:59:19+00:00,2019-08-06 02:58:38+00:00,2019-08-06 02:57:58+00:00,2019-08-06 02:57:19+00:00,2019-08-06 02:56:43+00:00,2019-08-06 02:55:31+00:00,2019-08-06 02:43:23+00:00,2019-08-06 02:39:24+00:00,2019-08-06 02:37:02+00:00,2019-08-06 02:36:02+00:00,2019-08-06 02:34:55+00:00,2019-08-06 02:34:08+00:00,2019-08-06 02:33:17+00:00,2019-08-06 02:32:22+00:00,2019-08-06 02:31:43+00:00,2019-08-06 02:31:02+00:00,9.0,9.199999809265137,9.199999809265137,9.199999809265137,9.300000190734863,9.300000190734863,9.100000381469727,8.899999618530273,6.800000190734863,0.0,3.400000095367431,5.699999809265137,5.900000095367432,6.800000190734863,8.199999809265137,8.600000381469727,8.899999618530273,9.600000381469727,9.699999809265137
2,2019-08-06 03:02:48+00:00,2019-08-06 03:02:16+00:00,2019-08-06 03:01:29+00:00,2019-08-06 03:00:39+00:00,2019-08-06 02:59:46+00:00,2019-08-06 02:59:08+00:00,2019-08-06 02:58:28+00:00,2019-08-06 02:57:39+00:00,2019-08-06 02:56:16+00:00,2019-08-06 02:55:28+00:00,2019-08-06 02:46:29+00:00,2019-08-06 02:39:18+00:00,2019-08-06 02:38:08+00:00,2019-08-06 02:37:18+00:00,2019-08-06 02:36:18+00:00,2019-08-06 02:35:26+00:00,2019-08-06 02:34:37+00:00,2019-08-06 02:33:57+00:00,2019-08-06 02:33:08+00:00,8.0,8.0,8.199999809265137,8.100000381469727,8.399999618530273,8.300000190734863,8.199999809265137,7.900000095367432,6.5,5.099999904632568,0.10000000149011601,5.199999809265137,6.400000095367432,7.199999809265137,8.100000381469727,8.399999618530273,8.800000190734863,9.100000381469727,9.100000381469727
3,2019-08-06 02:40:52+00:00,2019-08-06 02:41:12+00:00,2019-08-06 02:42:42+00:00,2019-08-06 02:44:33+00:00,2019-08-06 02:53:21+00:00,2019-08-06 02:59:02+00:00,2019-08-06 03:00:42+00:00,2019-08-06 03:02:11+00:00,2019-08-06 03:05:23+00:00,2019-08-06 03:10:04+00:00,2019-08-06 03:28:52+00:00,2019-08-06 03:31:04+00:00,2019-08-06 03:31:51+00:00,2019-08-06 03:32:53+00:00,2019-08-06 03:33:40+00:00,2019-08-06 03:34:22+00:00,2019-08-06 03:35:13+00:00,2019-08-06 03:36:01+00:00,2019-08-06 03:36:43+00:00,6.199999809265137,5.599999904632568,4.199999809265137,2.5,0.10000000149011601,3.900000095367431,4.199999809265137,3.900000095367431,2.0,1.0,3.5,6.699999809265137,7.199999809265137,7.900000095367432,8.5,8.600000381469727,8.5,8.600000381469727,8.600000381469727
4,2019-08-06 02:44:27+00:00,2019-08-06 02:45:16+00:00,2019-08-06 02:47:07+00:00,2019-08-06 02:59:57+00:00,2019-08-06 03:01:47+00:00,2019-08-06 03:03:08+00:00,2019-08-06 03:04:46+00:00,2019-08-06 03:06:45+00:00,2019-08-06 03:11:38+00:00,2019-08-06 03:30:47+00:00,2019-08-06 03:32:07+00:00,2019-08-06 03:34:18+00:00,2019-08-06 03:35:17+00:00,2019-08-06 03:36:06+00:00,2019-08-06 03:36:56+00:00,2019-08-06 03:37:57+00:00,2019-08-06 03:38:47+00:00,2019-08-06 03:39:35+00:00,2019-08-06 03:40:26+00:00,5.5,4.599999904632568,2.200000047683716,2.799999952316284,4.400000095367432,4.099999904632568,3.5,2.299999952316284,1.100000023841858,3.0,4.099999904632568,6.5,7.099999904632568,7.400000095367432,7.599999904632568,7.800000190734863,7.900000095367432,7.800000190734863,7.800000190734863
5,2019-08-06 04:05:42+00:00,2019-08-06 04:05:12+00:00,2019-08-06 04:04:23+00:00,2019-08-06 04:03:34+00:00,2019-08-06 04:02:52+00:00,2019-08-06 04:02:02+00:00,2019-08-06 04:01:12+00:00,2019-08-06 04:00:23+00:00,2019-08-06 03:58:34+00:00,2019-08-06 03:43:43+00:00,2019-08-06 03:39:23+00:00,2019-08-06 03:36:02+00:00,2019-08-06 03:34:13+00:00,2019-08-06 03:31:54+00:00,2019-08-06 03:30:13+00:00,2019-08-06 03:28:52+00:00,2019-08-06 03:27:43+00:00,2019-08-06 03:26:34+00:00,2019-08-06 03:25:42+00:00,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.0,7.800000190734863,7.5,6.800000190734863,4.099999904632568,0.8000000119209291,2.0,4.199999809265137,2.700000047683716,3.400000095367431,4.699999809265137,5.300000190734863,5.900000095367432,6.800000190734863,7.400000095367432
6,2019-08-06 04:07:29+00:00,2019-08-06 04:07:39+00:00,2019-08-06 04:08:29+00:00,2019-08-06 04:09:06+00:00,2019-08-06 04:10:08+00:00,2019-08-06 04:11:08+00:00,2019-08-06 04:11:50+00:00,2019-08-06 04:12:49+00:00,2019-08-06 04:14:51+00:00,2019-08-06 04:16:30+00:00,2019-08-06 04:27:55+00:00,2019-08-06 04:34:35+00:00,2019-08-06 04:35:25+00:00,2019-08-06 04:36:15+00:00,2019-08-06 04:36:55+00:00,2019-08-06 04:37:55+00:00,2019-08-06 04:38:35+00:00,2019-08-06 04:39:35+00:00,2019-08-06 04:40:16+00:00,8.0,8.100000381469727,8.100000381469727,8.0,7.300000190734863,7.0,6.800000190734863,6.0,4.300000190734863,2.400000095367431,0.0,6.900000095367432,7.599999904632568,7.800000190734863,8.0,8.0,8.0,7.900000095367432,8.0
7,2019-08-06 04:14:03+00:00,2019-08-06 04:14:03+00:00,2019-08-06 04:14:43+00:00,2019-08-06 04:15:22+00:00,2019-08-06 04:16:10+00:00,2019-08-06 04:17:01+00:00,2019-08-06 04:17:41+00:00,2019-08-06 04:18:42+00:00,2019-08-06 04:20:42+00:00,2019-08-06 04:33:42+00:00,2019-08-06 04:34:54+00:00,2019-08-06 04:36:33+00:00,2019-08-06 04:37:24+00:00,2019-08-06 04:38:12+00:00,2019-08-06 04:39:13+00:00,2019-08-06 04:39:54+00:00,2019-08-06 04:40:44+00:00,2019-08-06 04:41:33+00:00,2019-08-06 04:42:24+00:00,9.600000381469727,9.600000381469727,9.800000190734863,9.199999809265137,7.800000190734863,7.199999809265137,7.0,6.300000190734863,4.099999904632568,3.299999952316284,5.400000095367432,7.199999809265137,7.5,7.599999904632568,8.0,8.399999618530273,8.5,8.600000381469727,8.600000381469727
8,2019-08-06 05:07:11+00:00,2019-08-06 05:06:30+00:00,2019-08-06 05:05:32+00:00,2019-08-06 05:04:38+00:00,2019-08-06 05:03:38+00:00,2019-08-06 05:02:49+00:00,2019-08-06 05:01:51+00:00,2019-08-06 05:00:38+00:00,2019-08-06 04:58:01+00:00,2019-08-06 04:56:11+00:00,2019-08-06 04:41:00+00:00,2019-08-06 04:37:30+00:00,2019-08-06 04:35:21+00:00,2019-08-06 04:26:02+00:00,2019-08-06 04:24:30+00:00,2019-08-06 04:23:12+00:00,2019-08-06 04:22:02+00:00,2019-08-06 04:21:01+00:00,2019-08-06 04:20:00+00:00,7.300000190734863,7.199999809265137,7.0,7.0,6.599999904632568,6.300000190734863,5.699999809265137,4.800000190734863,2.799999952316284,1.399999976158142,1.700000047683715,4.099999904632568,1.399999976158142,3.400000095367431,4.800000190734863,5.5,6.099999904632568,7.199999809265137,7.699999809265137
9,2019-08-06 05:08:10+00:00,2019-08-06 05:07:33+00:00,2019-08-06 05:06:43+00:00,2019-08-06 05:05:51+00:00,2019-08-06 05:05:01+00:00,2019-08-06 05:04:12+00:00,2019-08-06 05:03:12+00:00,2019-08-06 05:02:12+00:00,2019-08-06 05:00:13+00:00,2019-08-06 04:58:42+00:00,2019-08-06 04:45:22+00:00,2019-08-06 04:40:24+00:00,2019-08-06 04:38:13+00:00,2019-08-06 04:32:12+00:00,2019-08-06 04:28:54+00:00,2019-08-06 04:26:11+00:00,2019-08-06 04:24:12+00:00,2019-08-06 04:22:51+00:00,2019-08-06 04:21:42+00:00,8.199999809265137,8.0,7.800000190734863,7.099999904632568,6.900000095367432,6.699999809265137,6.300000190734863,5.800000190734863,4.300000190734863,3.099999904632568,1.100000023841858,2.900000095367431,3.0,1.700000047683715,2.200000047683716,2.700000047683716,4.199999809265137,5.5,6.800000190734863
