station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,9.0,13.0,7.0,11.0,6.0,10.0,13.0,4.0,6.0,8.0
Amstelstation,380.0,373.0,367.0,411.0,382.0,376.0,337.0,398.0,368.0,386.0
Amstelveenseweg,94.0,93.0,87.0,90.0,94.0,102.0,91.0,102.0,98.0,88.0
Beethovenstraat,8.0,11.0,9.0,11.0,6.0,9.0,5.0,10.0,6.0,7.0
Bullewijk,152.0,147.0,167.0,150.0,170.0,151.0,164.0,179.0,160.0,168.0
Burg.de Vlugtlaan,55.0,57.0,52.0,62.0,55.0,44.0,53.0,57.0,59.0,58.0
Centraal Station,802.0,813.0,776.0,776.0,779.0,753.0,771.0,799.0,798.0,794.0
Cornelis Troostplein,21.0,20.0,11.0,13.0,17.0,12.0,19.0,11.0,17.0,14.0
Dam,105.0,108.0,97.0,104.0,90.0,106.0,83.0,91.0,94.0,89.0
De Boelelaan/VU,27.0,17.0,26.0,17.0,29.0,34.0,24.0,28.0,20.0,26.0
De Pijp,451.0,467.0,457.0,477.0,497.0,510.0,497.0,476.0,461.0,484.0
Europaplein,285.0,270.0,267.0,266.0,271.0,287.0,290.0,262.0,276.0,249.0
Gaasperplas,90.0,80.0,97.0,94.0,84.0,91.0,79.0,84.0,97.0,99.0
Gein,95.0,100.0,86.0,73.0,122.0,88.0,103.0,106.0,86.0,84.0
Gerrit v.d. Veenstraat,35.0,42.0,30.0,42.0,33.0,31.0,31.0,34.0,25.0,26.0
Heemstedestraat,36.0,44.0,37.0,45.0,39.0,44.0,44.0,47.0,51.0,43.0
Henk Sneevlietweg,96.0,85.0,105.0,77.0,100.0,92.0,85.0,92.0,106.0,94.0
IJsbaanpad,3.0,4.0,,3.0,1.0,2.0,3.0,,2.0,
Isolatorweg,25.0,12.0,23.0,25.0,22.0,15.0,18.0,21.0,23.0,16.0
Jan v.Galenstraat,83.0,95.0,80.0,97.0,97.0,99.0,87.0,90.0,91.0,85.0
Keizersgracht,14.0,12.0,15.0,17.0,18.0,18.0,21.0,10.0,10.0,20.0
Koningsplein,20.0,21.0,37.0,41.0,30.0,33.0,33.0,29.0,31.0,33.0
Kraaienneststation,163.0,169.0,210.0,170.0,173.0,158.0,139.0,150.0,172.0,185.0
Leidseplein,62.0,64.0,61.0,45.0,57.0,74.0,67.0,66.0,64.0,63.0
Maasstraat,12.0,11.0,13.0,14.0,9.0,13.0,14.0,15.0,15.0,12.0
Marie Heinekenplein,63.0,67.0,60.0,56.0,56.0,65.0,56.0,65.0,74.0,61.0
Minervaplein,13.0,12.0,16.0,15.0,14.0,14.0,10.0,18.0,7.0,12.0
Muntplein,40.0,28.0,38.0,39.0,34.0,34.0,37.0,43.0,37.0,33.0
Museumplein,51.0,62.0,44.0,53.0,66.0,53.0,43.0,56.0,57.0,54.0
Nieuwezijds Kolk,17.0,29.0,18.0,25.0,14.0,14.0,24.0,18.0,22.0,25.0
