station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,2.0,8.0,7.0,8.0,7.0,8.0,11.0,3.0,7.0,3.0
Amstelstation,281.0,263.0,257.0,249.0,259.0,285.0,237.0,300.0,272.0,270.0
Amstelveenseweg,92.0,108.0,95.0,83.0,88.0,86.0,79.0,90.0,87.0,95.0
Beethovenstraat,10.0,15.0,13.0,9.0,13.0,10.0,14.0,10.0,14.0,10.0
Bullewijk,151.0,137.0,148.0,124.0,142.0,161.0,124.0,149.0,138.0,132.0
Burg.de Vlugtlaan,48.0,53.0,33.0,43.0,45.0,50.0,56.0,56.0,43.0,40.0
Centraal Station,1017.0,945.0,991.0,1020.0,985.0,930.0,930.0,1030.0,952.0,971.0
Cornelis Troostplein,15.0,28.0,12.0,22.0,25.0,19.0,15.0,16.0,22.0,23.0
Dam,289.0,272.0,316.0,269.0,299.0,306.0,294.0,269.0,275.0,299.0
De Boelelaan/VU,12.0,15.0,15.0,12.0,13.0,13.0,13.0,10.0,11.0,7.0
De Pijp,1054.0,1105.0,1065.0,1079.0,1081.0,1096.0,1117.0,1125.0,1089.0,1088.0
Europaplein,420.0,432.0,443.0,388.0,433.0,425.0,396.0,400.0,397.0,402.0
Gaasperplas,112.0,87.0,83.0,86.0,78.0,110.0,120.0,85.0,104.0,98.0
Gein,98.0,110.0,105.0,124.0,121.0,88.0,116.0,102.0,107.0,116.0
Gerrit v.d. Veenstraat,33.0,32.0,27.0,22.0,27.0,27.0,24.0,31.0,31.0,29.0
Heemstedestraat,46.0,58.0,46.0,45.0,35.0,46.0,34.0,41.0,53.0,56.0
Henk Sneevlietweg,43.0,76.0,50.0,54.0,51.0,62.0,62.0,61.0,46.0,68.0
IJsbaanpad,7.0,11.0,7.0,6.0,4.0,7.0,7.0,8.0,8.0,6.0
Isolatorweg,11.0,19.0,9.0,16.0,11.0,17.0,25.0,15.0,17.0,15.0
Jan v.Galenstraat,60.0,61.0,60.0,50.0,46.0,78.0,48.0,64.0,63.0,53.0
Keizersgracht,47.0,38.0,28.0,28.0,39.0,44.0,40.0,40.0,33.0,38.0
Koningsplein,104.0,90.0,92.0,102.0,106.0,114.0,102.0,109.0,116.0,92.0
Kraaienneststation,177.0,180.0,208.0,197.0,185.0,167.0,184.0,177.0,175.0,186.0
Leidseplein,106.0,141.0,127.0,110.0,110.0,125.0,132.0,126.0,104.0,141.0
Maasstraat,19.0,9.0,15.0,14.0,22.0,14.0,11.0,9.0,21.0,17.0
Marie Heinekenplein,229.0,204.0,247.0,232.0,223.0,221.0,220.0,197.0,217.0,234.0
Minervaplein,9.0,17.0,19.0,14.0,18.0,30.0,11.0,12.0,14.0,12.0
Muntplein,102.0,83.0,98.0,97.0,105.0,117.0,101.0,109.0,112.0,110.0
Museumplein,94.0,79.0,74.0,83.0,59.0,88.0,72.0,78.0,84.0,84.0
Nieuwezijds Kolk,43.0,32.0,52.0,55.0,32.0,46.0,46.0,52.0,43.0,36.0
Nieuwmarkt,102.0,108.0,110.0,116.0,111.0,102.0,115.0,107.0,111.0,94.0
Noord,848.0,809.0,845.0,890.0,814.0,825.0,849.0,839.0,880.0,865.0
Noorderpark,313.0,327.0,329.0,333.0,320.0,332.0,303.0,338.0,358.0,327.0
Olympiaplein,42.0,38.0,40.0,38.0,57.0,50.0,44.0,42.0,34.0,35.0
Olympiaweg,27.0,20.0,26.0,31.0,38.0,24.0,28.0,25.0,38.0,26.0
Olympisch stadion,55.0,41.0,43.0,43.0,37.0,36.0,45.0,44.0,38.0,41.0
Overamstel,68.0,60.0,48.0,47.0,46.0,54.0,42.0,53.0,56.0,70.0
Postjesweg,49.0,57.0,60.0,51.0,51.0,59.0,57.0,42.0,52.0,53.0
Prinsengracht,49.0,40.0,53.0,60.0,44.0,42.0,45.0,45.0,47.0,50.0
Reigersbos,148.0,165.0,159.0,153.0,149.0,147.0,138.0,148.0,170.0,132.0
