station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,5.0,13.0,9.0,11.0,9.0,6.0,14.0,2.0,6.0,5.0
Amstelstation,313.0,315.0,305.0,320.0,334.0,348.0,277.0,311.0,322.0,327.0
Amstelveenseweg,56.0,55.0,57.0,55.0,58.0,67.0,54.0,50.0,40.0,59.0
Beethovenstraat,2.0,1.0,3.0,6.0,1.0,1.0,4.0,,4.0,2.0
Bullewijk,187.0,203.0,188.0,184.0,177.0,164.0,197.0,176.0,183.0,175.0
Burg.de Vlugtlaan,51.0,55.0,47.0,49.0,47.0,49.0,45.0,57.0,39.0,49.0
Centraal Station,1191.0,1170.0,1158.0,1180.0,1192.0,1167.0,1167.0,1157.0,1192.0,1168.0
Cornelis Troostplein,24.0,15.0,24.0,27.0,28.0,25.0,20.0,16.0,24.0,23.0
Dam,332.0,306.0,312.0,339.0,334.0,331.0,365.0,353.0,332.0,340.0
De Boelelaan/VU,,,,,,1.0,1.0,1.0,3.0,1.0
De Pijp,1000.0,1016.0,1041.0,1015.0,957.0,959.0,983.0,1000.0,1020.0,996.0
Europaplein,453.0,473.0,480.0,431.0,465.0,454.0,460.0,432.0,470.0,444.0
Gaasperplas,134.0,141.0,147.0,152.0,149.0,127.0,141.0,129.0,125.0,125.0
Gein,132.0,134.0,141.0,143.0,115.0,133.0,134.0,115.0,153.0,134.0
Gerrit v.d. Veenstraat,31.0,26.0,36.0,26.0,27.0,28.0,31.0,34.0,25.0,26.0
Heemstedestraat,36.0,41.0,55.0,45.0,43.0,41.0,59.0,48.0,48.0,39.0
Henk Sneevlietweg,68.0,73.0,68.0,52.0,76.0,72.0,56.0,81.0,54.0,66.0
IJsbaanpad,3.0,2.0,,,1.0,3.0,2.0,2.0,2.0,5.0
Isolatorweg,55.0,54.0,41.0,43.0,50.0,37.0,52.0,39.0,51.0,46.0
Jan v.Galenstraat,56.0,53.0,50.0,63.0,67.0,63.0,59.0,63.0,59.0,58.0
Keizersgracht,35.0,22.0,29.0,37.0,35.0,34.0,31.0,41.0,35.0,49.0
Koningsplein,87.0,102.0,110.0,81.0,107.0,97.0,114.0,99.0,93.0,104.0
Kraaienneststation,242.0,222.0,242.0,209.0,215.0,233.0,249.0,226.0,219.0,224.0
Leidseplein,159.0,149.0,143.0,145.0,131.0,160.0,164.0,153.0,161.0,152.0
Maasstraat,13.0,15.0,10.0,20.0,19.0,10.0,14.0,12.0,9.0,16.0
Marie Heinekenplein,149.0,136.0,128.0,116.0,153.0,135.0,108.0,129.0,135.0,159.0
Minervaplein,15.0,20.0,16.0,11.0,12.0,13.0,17.0,14.0,14.0,15.0
Muntplein,145.0,128.0,131.0,145.0,142.0,140.0,153.0,126.0,134.0,140.0
Museumplein,54.0,66.0,60.0,60.0,57.0,53.0,59.0,57.0,52.0,44.0
Nieuwezijds Kolk,62.0,57.0,72.0,53.0,57.0,50.0,58.0,61.0,56.0,54.0
Nieuwmarkt,167.0,148.0,157.0,142.0,162.0,147.0,145.0,150.0,136.0,134.0
Noord,987.0,987.0,1004.0,1024.0,984.0,993.0,938.0,1002.0,983.0,1032.0
Noorderpark,348.0,349.0,357.0,338.0,352.0,383.0,330.0,362.0,358.0,351.0
Olympiaplein,42.0,42.0,39.0,36.0,28.0,46.0,39.0,46.0,45.0,44.0
Olympiaweg,24.0,31.0,34.0,50.0,29.0,32.0,37.0,37.0,50.0,38.0
Olympisch stadion,61.0,53.0,44.0,46.0,39.0,58.0,40.0,60.0,44.0,40.0
Overamstel,70.0,55.0,58.0,82.0,70.0,64.0,73.0,54.0,61.0,77.0
Postjesweg,56.0,77.0,58.0,60.0,60.0,57.0,44.0,46.0,45.0,58.0
Prinsengracht,59.0,55.0,66.0,63.0,63.0,53.0,55.0,57.0,62.0,62.0
Reigersbos,146.0,164.0,161.0,158.0,151.0,152.0,157.0,174.0,151.0,154.0
Rijksmuseum,74.0,62.0,60.0,85.0,89.0,71.0,64.0,74.0,71.0,88.0
Roelof Hartplein,141.0,136.0,124.0,130.0,128.0,141.0,143.0,157.0,136.0,126.0
Rokin,853.0,868.0,874.0,871.0,870.0,835.0,826.0,929.0,932.0,864.0
Scheldestraat,17.0,13.0,16.0,15.0,17.0,11.0,19.0,16.0,18.0,19.0
Spaklerweg,65.0,80.0,66.0,67.0,77.0,78.0,88.0,84.0,87.0,76.0
Spui,57.0,58.0,46.0,60.0,66.0,59.0,68.0,69.0,76.0,56.0
Station Bijlmer ArenA,628.0,654.0,633.0,646.0,638.0,583.0,584.0,635.0,579.0,597.0
Station Diemen-Zuid,189.0,189.0,183.0,190.0,207.0,192.0,195.0,173.0,176.0,182.0
Station Duivendrecht,91.0,98.0,95.0,108.0,103.0,113.0,98.0,85.0,91.0,111.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,129.0,142.0,126.0,138.0,119.0,138.0,148.0,135.0,126.0,124.0
Station RAI,103.0,101.0,99.0,110.0,85.0,94.0,95.0,92.0,108.0,74.0
Station Sloterdijk,109.0,143.0,135.0,125.0,115.0,131.0,138.0,130.0,151.0,129.0
Strandvliet,111.0,110.0,129.0,109.0,109.0,116.0,118.0,110.0,114.0,138.0
Van Baerlestraat,54.0,49.0,70.0,55.0,68.0,56.0,64.0,53.0,49.0,37.0
Van der Madeweg,153.0,129.0,166.0,148.0,164.0,142.0,172.0,154.0,146.0,160.0
Venserpolder,119.0,132.0,119.0,126.0,144.0,136.0,122.0,122.0,122.0,109.0
Verrijn Stuartweg,28.0,25.0,32.0,27.0,15.0,24.0,29.0,20.0,24.0,15.0
