departure,line,occupancy1,occupancy2,occupancy3,occupancy4,occupancy5,occupancy6,occupancy7,occupancy8,occupancy9,occupancy10
08:00:00,metro52_0,"[72, 90, 76, 79, 83, 65, 87]","[56, 63, 53, 52, 53, 53, 60]","[47, 60, 60, 57, 55, 46, 45]","[49, 54, 47, 47, 57, 68, 74]","[38, 53, 51, 47, 50, 49, 59]","[51, 64, 45, 49, 53, 49, 52]","[69, 80, 65, 56, 55, 48, 52]","[52, 67, 50, 46, 51, 44, 51]","[57, 69, 60, 63, 67, 62, 71]","[57, 71, 57, 54, 57, 49, 55]"
08:00:00,metro50_1,"[15, 31, 41, 62, 92, 91, 108, 150, 157, 159, 53, 36, 34, 34, 25, 24, 20, 18, 3]","[12, 23, 37, 44, 56, 60, 70, 92, 94, 102, 46, 36, 36, 35, 29, 26, 24, 20, 3]","[12, 25, 30, 44, 62, 71, 83, 101, 101, 110, 32, 19, 20, 20, 13, 12, 14, 12, 3]","[9, 25, 34, 49, 61, 64, 71, 95, 104, 110, 46, 31, 27, 23, 22, 23, 21, 20, 4]","[13, 30, 37, 47, 64, 69, 82, 116, 119, 122, 59, 43, 43, 39, 36, 29, 25, 15, 3]","[12, 31, 43, 56, 71, 78, 96, 120, 127, 126, 44, 31, 33, 28, 22, 20, 16, 15, 2]","[12, 21, 28, 42, 58, 63, 74, 109, 114, 115, 39, 29, 26, 25, 19, 16, 15, 13, 1]","[10, 23, 32, 43, 59, 65, 84, 114, 120, 116, 40, 28, 27, 29, 24, 23, 18, 17, 4]","[6, 25, 39, 48, 63, 69, 78, 100, 107, 111, 39, 25, 21, 21, 16, 14, 14, 11, 0]","[7, 19, 23, 40, 56, 62, 75, 93, 99, 103, 33, 24, 24, 19, 16, 15, 14, 11, 5]"
08:01:00,metro50_0,"[1, 21, 28, 36, 39, 50, 59, 76, 63, 70, 62, 66, 107, 102, 91, 54, 38, 22, 9]","[3, 15, 20, 28, 31, 43, 52, 67, 57, 42, 45, 46, 53, 47, 43, 20, 15, 7, 3]","[2, 20, 26, 30, 38, 53, 56, 63, 47, 48, 46, 46, 57, 51, 43, 20, 11, 7, 2]","[2, 16, 25, 27, 31, 49, 54, 61, 49, 49, 47, 47, 67, 55, 52, 27, 23, 5, 4]","[2, 22, 25, 26, 32, 44, 49, 52, 51, 39, 34, 38, 56, 51, 51, 22, 14, 8, 3]","[4, 23, 30, 33, 37, 46, 51, 59, 49, 54, 48, 47, 73, 66, 58, 34, 30, 15, 5]","[0, 15, 23, 32, 36, 52, 60, 77, 60, 59, 55, 56, 51, 44, 40, 21, 16, 6, 4]","[0, 15, 19, 22, 28, 37, 43, 53, 43, 49, 48, 48, 72, 67, 66, 35, 30, 15, 4]","[3, 20, 24, 30, 32, 50, 54, 67, 57, 57, 56, 55, 63, 59, 55, 30, 19, 10, 0]","[2, 9, 10, 17, 21, 40, 50, 62, 46, 59, 53, 51, 64, 57, 54, 32, 17, 8, 5]"
08:03:00,metro53_0,"[13, 41, 41, 43, 63, 89, 99, 101, 92, 100, 109, 107, 110]","[14, 38, 38, 38, 46, 62, 57, 59, 55, 56, 57, 55, 59]","[8, 27, 27, 29, 45, 59, 58, 60, 55, 65, 74, 75, 79]","[14, 42, 42, 44, 57, 66, 51, 57, 54, 53, 54, 57, 60]","[13, 36, 36, 38, 47, 59, 51, 52, 59, 63, 65, 65, 63]","[13, 31, 31, 33, 43, 63, 44, 45, 49, 55, 60, 61, 64]","[9, 29, 29, 30, 43, 57, 50, 54, 49, 50, 51, 54, 57]","[6, 35, 35, 38, 56, 70, 57, 57, 55, 57, 57, 60, 63]","[12, 37, 37, 38, 47, 58, 56, 59, 66, 72, 68, 67, 67]","[3, 28, 28, 28, 39, 58, 57, 60, 55, 60, 62, 64, 64]"
08:03:00,metro53_1,"[64, 56, 47, 45, 52, 70, 76, 18, 16, 12, 11, 11, 3]","[17, 17, 16, 17, 20, 37, 44, 8, 6, 2, 2, 2, 1]","[39, 34, 28, 32, 31, 37, 39, 13, 12, 8, 7, 7, 0]","[42, 38, 37, 35, 36, 43, 47, 5, 4, 2, 3, 3, 0]","[33, 33, 30, 31, 37, 41, 44, 11, 11, 7, 6, 6, 1]","[33, 32, 33, 35, 37, 58, 57, 9, 5, 4, 4, 4, 0]","[35, 33, 30, 30, 30, 40, 42, 7, 6, 6, 5, 5, 0]","[30, 28, 26, 28, 34, 52, 56, 11, 12, 8, 8, 8, 1]","[30, 31, 30, 31, 30, 44, 51, 12, 11, 7, 7, 7, 2]","[38, 33, 32, 32, 38, 57, 62, 15, 11, 9, 9, 9, 0]"
08:04:00,tram24_1,"[18, 60, 33, 26, 25, 26, 22, 25, 26, 26, 26, 28, 29, 34, 34, 1, 0]","[4, 18, 8, 8, 10, 11, 12, 13, 13, 13, 13, 14, 15, 15, 15, 0, 0]","[4, 12, 5, 4, 1, 3, 14, 10, 8, 8, 8, 11, 11, 12, 12, 0, 0]","[7, 14, 9, 8, 8, 9, 20, 20, 19, 19, 19, 20, 20, 20, 19, 1, 0]","[1, 7, 4, 4, 8, 11, 10, 11, 11, 11, 11, 14, 15, 16, 16, 0, 0]","[5, 14, 9, 9, 10, 11, 17, 17, 13, 13, 13, 13, 13, 13, 13, 0, 0]","[2, 6, 7, 7, 10, 13, 24, 21, 22, 22, 22, 25, 25, 24, 24, 0, 0]","[5, 13, 12, 11, 10, 16, 15, 16, 15, 15, 15, 17, 17, 17, 16, 0, 0]","[3, 10, 8, 8, 9, 10, 21, 15, 14, 14, 14, 13, 13, 17, 17, 0, 0]","[2, 9, 6, 6, 10, 13, 18, 17, 16, 16, 16, 19, 19, 19, 17, 0, 0]"
08:05:00,metro52_1,"[38, 61, 85, 73, 63, 19, 11]","[22, 31, 48, 46, 36, 9, 10]","[22, 32, 33, 34, 35, 10, 9]","[26, 29, 50, 53, 50, 5, 3]","[24, 35, 41, 38, 35, 5, 7]","[21, 27, 44, 46, 44, 11, 14]","[24, 32, 47, 48, 39, 8, 7]","[27, 33, 41, 36, 31, 7, 4]","[19, 27, 45, 44, 34, 2, 1]","[20, 26, 40, 41, 35, 7, 5]"
08:05:00,tram24_0,"[1, 4, 4, 5, 12, 15, 16, 17, 17, 19, 30, 37, 28, 27, 23, 30, 23]","[0, 1, 3, 3, 3, 4, 8, 8, 8, 8, 9, 9, 10, 11, 10, 13, 7]","[0, 0, 1, 1, 3, 7, 10, 10, 10, 11, 12, 11, 12, 14, 14, 21, 11]","[0, 1, 1, 1, 2, 2, 4, 4, 4, 5, 8, 7, 7, 8, 7, 7, 8]","[0, 2, 6, 6, 10, 11, 14, 14, 14, 14, 20, 19, 19, 19, 18, 21, 8]","[0, 0, 2, 2, 6, 6, 7, 7, 7, 7, 10, 11, 11, 10, 10, 13, 5]","[0, 1, 0, 0, 2, 3, 5, 5, 5, 5, 8, 4, 6, 9, 7, 17, 8]","[0, 0, 1, 1, 4, 6, 7, 7, 7, 9, 15, 11, 12, 14, 13, 17, 11]","[0, 0, 2, 2, 2, 3, 3, 3, 3, 6, 10, 8, 9, 8, 8, 11, 9]","[0, 0, 1, 1, 3, 3, 6, 6, 6, 6, 8, 6, 10, 10, 10, 14, 12]"
08:06:00,metro52_0,"[52, 67, 76, 73, 75, 71, 69]","[57, 69, 65, 59, 63, 41, 41]","[61, 69, 81, 80, 81, 74, 70]","[33, 46, 55, 48, 51, 42, 46]","[49, 60, 70, 60, 60, 55, 53]","[55, 65, 64, 57, 58, 50, 54]","[43, 55, 61, 53, 55, 51, 48]","[50, 59, 58, 59, 62, 64, 63]","[47, 64, 69, 61, 65, 63, 62]","[57, 73, 83, 71, 70, 63, 59]"
08:10:00,metro50_1,"[17, 32, 41, 54, 68, 74, 83, 125, 125, 124, 57, 57, 50, 44, 34, 30, 28, 25, 3]","[5, 19, 31, 49, 62, 69, 77, 118, 117, 117, 47, 34, 32, 30, 27, 27, 23, 16, 2]","[19, 35, 40, 54, 66, 77, 84, 116, 115, 112, 57, 41, 36, 32, 26, 22, 18, 17, 1]","[10, 21, 37, 55, 67, 76, 81, 110, 110, 103, 35, 28, 25, 21, 18, 18, 13, 13, 1]","[9, 17, 31, 45, 65, 66, 73, 106, 108, 106, 54, 39, 34, 34, 30, 30, 28, 26, 1]","[8, 22, 27, 37, 53, 55, 58, 106, 106, 107, 46, 41, 38, 36, 31, 27, 22, 21, 2]","[4, 18, 27, 45, 59, 65, 72, 116, 115, 115, 52, 41, 34, 30, 22, 19, 17, 15, 0]","[8, 18, 39, 59, 71, 76, 82, 123, 121, 119, 52, 40, 35, 34, 28, 26, 22, 17, 0]","[12, 38, 43, 54, 68, 73, 82, 123, 123, 118, 62, 46, 40, 36, 33, 33, 29, 25, 7]","[12, 27, 35, 42, 58, 65, 70, 119, 121, 116, 61, 48, 43, 42, 37, 33, 24, 20, 1]"
