departure,line,occupancy1,occupancy2,occupancy3,occupancy4,occupancy5,occupancy6,occupancy7,occupancy8,occupancy9,occupancy10
08:11:00,metro50_0,"[2, 19, 26, 28, 29, 35, 39, 45, 38, 66, 59, 60, 39, 36, 35, 21, 16, 6, 2]","[0, 19, 30, 36, 38, 48, 50, 52, 39, 63, 57, 56, 41, 39, 37, 23, 19, 7, 0]","[1, 13, 17, 23, 27, 31, 36, 43, 26, 54, 50, 44, 38, 31, 30, 19, 16, 9, 1]","[2, 17, 26, 33, 33, 40, 43, 44, 35, 55, 51, 49, 37, 32, 30, 14, 8, 4, 4]","[1, 18, 23, 31, 37, 39, 42, 46, 44, 71, 58, 57, 36, 39, 39, 22, 16, 6, 1]","[5, 26, 34, 43, 45, 51, 59, 60, 47, 64, 59, 57, 41, 38, 35, 16, 11, 3, 1]","[1, 26, 31, 37, 41, 45, 47, 54, 42, 62, 60, 60, 36, 32, 30, 13, 11, 4, 1]","[1, 16, 24, 33, 38, 41, 46, 52, 36, 60, 56, 59, 38, 37, 36, 21, 14, 8, 5]","[1, 17, 20, 27, 33, 38, 41, 46, 35, 57, 56, 52, 36, 31, 29, 14, 10, 5, 2]","[3, 14, 18, 23, 26, 33, 37, 43, 34, 59, 51, 52, 46, 37, 31, 18, 12, 4, 1]"
08:11:00,metro52_1,"[8, 12, 20, 23, 21, 6, 2]","[14, 16, 17, 20, 19, 4, 3]","[25, 30, 32, 30, 25, 5, 3]","[16, 19, 20, 23, 24, 2, 2]","[20, 22, 26, 28, 24, 3, 4]","[24, 27, 29, 30, 24, 4, 4]","[31, 32, 35, 33, 29, 5, 4]","[22, 23, 27, 28, 21, 5, 1]","[17, 20, 22, 20, 17, 6, 5]","[14, 16, 22, 19, 21, 5, 4]"
08:12:00,metro52_0,"[43, 51, 49, 44, 45, 35, 39]","[66, 75, 74, 61, 60, 56, 55]","[42, 53, 43, 41, 41, 36, 38]","[55, 65, 50, 45, 48, 37, 36]","[51, 70, 58, 58, 65, 55, 60]","[50, 60, 54, 55, 53, 47, 49]","[37, 51, 52, 53, 54, 45, 46]","[44, 61, 48, 45, 47, 47, 50]","[45, 57, 52, 51, 56, 54, 54]","[54, 68, 58, 54, 53, 45, 42]"
08:13:00,metro53_0,"[12, 40, 40, 41, 50, 60, 49, 50, 44, 43, 41, 41, 41]","[12, 33, 33, 36, 46, 53, 38, 37, 46, 50, 48, 45, 47]","[10, 36, 36, 38, 49, 59, 45, 46, 38, 41, 40, 40, 39]","[14, 43, 43, 43, 57, 70, 62, 63, 57, 62, 60, 59, 56]","[11, 48, 48, 49, 59, 69, 49, 49, 51, 52, 52, 47, 46]","[13, 30, 30, 30, 36, 44, 37, 39, 38, 46, 47, 45, 45]","[10, 35, 35, 35, 49, 56, 44, 45, 44, 48, 50, 53, 53]","[9, 33, 33, 35, 44, 52, 42, 44, 47, 52, 53, 54, 54]","[10, 32, 32, 34, 42, 55, 42, 44, 51, 52, 50, 50, 53]","[11, 35, 35, 38, 52, 59, 40, 39, 36, 39, 40, 37, 37]"
08:13:00,metro53_1,"[31, 30, 32, 30, 29, 34, 34, 12, 12, 3, 3, 3, 0]","[29, 24, 24, 25, 25, 27, 29, 9, 9, 4, 4, 4, 2]","[30, 28, 31, 33, 33, 30, 28, 8, 9, 6, 6, 6, 2]","[22, 21, 22, 24, 22, 27, 26, 12, 9, 8, 8, 8, 1]","[25, 27, 26, 30, 32, 33, 32, 13, 9, 8, 7, 7, 1]","[26, 29, 32, 34, 35, 37, 39, 10, 9, 9, 8, 8, 0]","[27, 23, 20, 20, 22, 22, 25, 8, 7, 6, 6, 6, 2]","[27, 27, 26, 27, 30, 32, 36, 14, 10, 7, 7, 7, 1]","[25, 23, 23, 24, 24, 24, 26, 17, 16, 8, 8, 8, 1]","[23, 23, 23, 25, 26, 29, 32, 10, 9, 9, 9, 9, 3]"
08:14:00,tram24_1,"[3, 4, 4, 3, 6, 3, 9, 7, 6, 6, 6, 6, 6, 7, 7, 0, 0]","[5, 3, 3, 2, 2, 3, 12, 11, 10, 10, 10, 11, 11, 11, 11, 0, 0]","[6, 6, 3, 2, 1, 2, 8, 9, 9, 9, 9, 9, 8, 5, 5, 0, 0]","[6, 8, 6, 6, 5, 5, 6, 4, 4, 4, 4, 5, 5, 8, 8, 0, 0]","[2, 2, 2, 1, 2, 5, 7, 5, 5, 5, 5, 6, 6, 7, 7, 0, 0]","[5, 4, 3, 3, 3, 4, 6, 5, 5, 5, 5, 5, 5, 6, 6, 0, 0]","[4, 6, 2, 2, 2, 2, 10, 7, 7, 7, 7, 6, 6, 5, 5, 0, 0]","[2, 3, 2, 2, 2, 3, 5, 4, 5, 5, 5, 6, 6, 6, 6, 0, 0]","[4, 6, 5, 4, 4, 4, 8, 6, 6, 6, 6, 9, 9, 9, 9, 0, 0]","[4, 5, 6, 4, 4, 4, 8, 8, 7, 7, 7, 8, 8, 8, 8, 0, 0]"
08:15:00,tram24_0,"[0, 0, 30, 30, 34, 37, 37, 37, 37, 37, 36, 23, 23, 20, 19, 13, 9]","[0, 1, 19, 19, 21, 21, 21, 21, 21, 21, 22, 13, 13, 13, 13, 11, 6]","[0, 0, 24, 24, 24, 24, 24, 24, 24, 24, 24, 18, 18, 19, 19, 15, 16]","[0, 0, 22, 22, 21, 21, 22, 22, 22, 23, 27, 20, 20, 19, 17, 12, 8]","[0, 0, 11, 11, 12, 13, 13, 13, 13, 12, 11, 7, 7, 5, 5, 5, 3]","[0, 0, 21, 21, 21, 23, 23, 23, 23, 24, 26, 19, 19, 20, 20, 20, 13]","[0, 1, 24, 24, 26, 27, 26, 26, 26, 27, 27, 18, 20, 17, 17, 13, 11]","[0, 1, 20, 20, 20, 20, 23, 23, 23, 23, 24, 16, 16, 16, 16, 11, 7]","[0, 0, 20, 20, 20, 21, 22, 22, 22, 22, 21, 15, 15, 13, 13, 13, 11]","[0, 1, 23, 23, 24, 25, 25, 25, 25, 24, 23, 21, 21, 16, 16, 12, 8]"
08:17:00,metro52_1,"[18, 21, 22, 24, 22, 9, 6]","[20, 22, 22, 26, 18, 6, 3]","[25, 30, 33, 33, 26, 15, 8]","[25, 25, 31, 33, 26, 13, 9]","[28, 27, 37, 36, 27, 13, 9]","[19, 22, 28, 30, 23, 15, 7]","[26, 27, 30, 26, 21, 9, 5]","[18, 20, 28, 29, 25, 16, 10]","[21, 24, 30, 31, 27, 19, 15]","[18, 20, 24, 22, 17, 12, 5]"
08:18:00,metro52_0,"[59, 70, 70, 59, 59, 53, 57]","[57, 67, 62, 56, 58, 54, 53]","[50, 62, 59, 51, 53, 49, 50]","[47, 59, 58, 57, 53, 43, 46]","[48, 63, 53, 53, 55, 47, 47]","[59, 73, 74, 70, 66, 58, 55]","[57, 69, 60, 55, 52, 44, 40]","[45, 61, 55, 52, 50, 46, 45]","[47, 61, 68, 64, 61, 51, 52]","[47, 62, 60, 56, 53, 43, 45]"
08:20:00,metro50_1,"[11, 21, 27, 42, 51, 62, 71, 95, 96, 98, 44, 29, 28, 24, 20, 21, 18, 18, 2]","[14, 25, 30, 42, 56, 62, 70, 104, 107, 100, 50, 36, 31, 29, 26, 25, 23, 16, 1]","[8, 17, 28, 39, 51, 57, 63, 96, 96, 98, 35, 24, 24, 24, 21, 20, 17, 15, 3]","[14, 26, 35, 47, 60, 71, 77, 97, 100, 100, 34, 29, 27, 25, 18, 17, 16, 16, 5]","[6, 21, 31, 47, 61, 70, 73, 99, 100, 99, 35, 26, 26, 21, 19, 19, 19, 16, 2]","[10, 23, 34, 50, 64, 70, 75, 100, 101, 105, 32, 16, 14, 14, 13, 11, 10, 9, 2]","[14, 25, 33, 46, 59, 67, 74, 89, 86, 86, 24, 18, 15, 14, 10, 9, 4, 4, 0]","[14, 26, 36, 42, 53, 63, 72, 102, 100, 99, 29, 20, 15, 13, 9, 8, 7, 7, 1]","[12, 29, 42, 52, 69, 77, 80, 94, 93, 93, 35, 26, 24, 23, 18, 14, 13, 12, 1]","[9, 24, 36, 50, 63, 66, 69, 101, 101, 95, 32, 24, 24, 22, 20, 17, 17, 15, 2]"
08:21:00,metro50_0,"[0, 18, 26, 38, 46, 47, 50, 55, 49, 48, 45, 44, 53, 47, 42, 23, 20, 11, 4]","[2, 17, 22, 27, 33, 39, 42, 49, 49, 35, 34, 35, 42, 38, 36, 18, 12, 4, 1]","[3, 21, 24, 26, 32, 38, 45, 50, 47, 51, 49, 48, 42, 37, 37, 19, 14, 8, 2]","[1, 14, 22, 27, 30, 40, 40, 42, 43, 42, 36, 35, 46, 39, 38, 21, 11, 6, 1]","[2, 20, 28, 30, 37, 41, 46, 59, 59, 48, 46, 45, 45, 39, 35, 20, 14, 5, 0]","[2, 23, 28, 35, 40, 40, 43, 44, 42, 34, 29, 29, 28, 25, 23, 11, 5, 2, 2]","[1, 24, 28, 33, 37, 44, 51, 53, 53, 42, 37, 37, 38, 32, 30, 11, 3, 2, 2]","[0, 21, 28, 35, 38, 43, 47, 53, 47, 47, 42, 43, 46, 41, 35, 18, 12, 5, 3]","[2, 17, 20, 24, 28, 35, 39, 42, 35, 39, 35, 37, 31, 27, 26, 14, 10, 5, 2]","[0, 18, 27, 33, 34, 38, 42, 49, 47, 43, 37, 39, 37, 32, 29, 14, 11, 5, 1]"
08:23:00,metro53_0,"[8, 28, 28, 29, 36, 46, 65, 62, 48, 51, 50, 43, 37]","[9, 30, 30, 32, 48, 62, 62, 65, 50, 56, 56, 52, 54]","[5, 26, 26, 27, 48, 62, 48, 53, 49, 55, 56, 58, 59]","[4, 32, 32, 32, 47, 55, 62, 61, 51, 52, 47, 50, 48]","[8, 31, 31, 31, 43, 52, 59, 60, 45, 44, 45, 42, 43]","[8, 28, 28, 33, 46, 54, 43, 44, 39, 41, 42, 41, 41]","[10, 32, 32, 33, 42, 50, 72, 71, 59, 64, 61, 54, 50]","[2, 17, 17, 18, 34, 42, 48, 50, 39, 44, 42, 39, 38]","[8, 39, 39, 39, 52, 61, 68, 64, 49, 50, 50, 50, 47]","[10, 36, 36, 38, 53, 64, 60, 59, 42, 44, 40, 43, 41]"
08:23:00,metro53_1,"[52, 47, 41, 41, 41, 46, 48, 16, 10, 8, 8, 8, 0]","[43, 39, 36, 32, 31, 34, 34, 14, 11, 5, 5, 5, 0]","[57, 55, 50, 48, 47, 46, 48, 18, 14, 8, 8, 8, 0]","[60, 56, 57, 58, 58, 56, 58, 20, 14, 7, 7, 7, 1]","[62, 55, 46, 44, 41, 45, 47, 15, 12, 6, 6, 6, 0]","[44, 40, 35, 37, 38, 42, 42, 16, 14, 11, 11, 11, 1]","[60, 49, 48, 46, 46, 45, 45, 22, 17, 12, 13, 13, 2]","[47, 45, 41, 41, 42, 43, 40, 19, 13, 7, 7, 7, 0]","[39, 36, 33, 30, 31, 34, 35, 14, 11, 10, 9, 9, 1]","[45, 45, 39, 41, 41, 39, 40, 12, 9, 5, 5, 5, 0]"
08:23:00,metro52_1,"[142, 131, 116, 105, 76, 19, 13]","[87, 84, 78, 71, 54, 12, 6]","[97, 94, 84, 77, 61, 14, 6]","[106, 97, 83, 76, 63, 13, 8]","[91, 88, 84, 81, 67, 20, 13]","[95, 89, 80, 73, 55, 14, 9]","[95, 87, 80, 75, 60, 16, 10]","[79, 80, 66, 59, 40, 6, 3]","[111, 109, 90, 87, 68, 22, 15]","[93, 89, 86, 85, 73, 16, 10]"
08:24:00,tram24_1,"[7, 5, 4, 4, 4, 3, 8, 7, 8, 8, 8, 8, 8, 9, 9, 2, 0]","[7, 3, 4, 4, 5, 6, 11, 11, 11, 11, 11, 11, 11, 13, 13, 0, 0]","[4, 4, 3, 2, 4, 4, 10, 6, 6, 6, 6, 6, 6, 5, 5, 1, 1]","[2, 4, 6, 6, 5, 5, 12, 12, 11, 11, 11, 11, 11, 10, 10, 0, 0]","[5, 3, 4, 3, 5, 5, 9, 7, 7, 7, 7, 8, 9, 8, 8, 0, 0]","[13, 4, 3, 3, 3, 3, 13, 9, 10, 10, 10, 11, 11, 11, 11, 0, 0]","[6, 5, 7, 7, 6, 6, 13, 11, 10, 10, 10, 10, 10, 10, 10, 0, 0]","[3, 2, 3, 3, 6, 6, 8, 9, 6, 6, 6, 8, 8, 9, 8, 0, 0]","[8, 6, 6, 5, 5, 5, 11, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0]","[6, 6, 2, 2, 2, 4, 8, 5, 5, 5, 5, 7, 8, 9, 9, 0, 0]"
08:24:00,metro52_0,"[65, 84, 125, 95, 85, 73, 68]","[63, 74, 97, 73, 73, 62, 54]","[59, 67, 107, 87, 78, 67, 66]","[62, 71, 97, 72, 70, 60, 58]","[43, 57, 101, 82, 73, 58, 57]","[64, 83, 106, 87, 81, 73, 72]","[53, 63, 87, 67, 60, 59, 54]","[58, 73, 93, 69, 66, 53, 50]","[50, 67, 98, 71, 71, 64, 59]","[55, 65, 87, 74, 71, 61, 58]"
08:25:00,tram24_0,"[0, 0, 28, 28, 28, 29, 29, 29, 29, 29, 27, 22, 22, 24, 23, 16, 9]","[0, 0, 17, 17, 20, 19, 19, 19, 19, 20, 21, 17, 17, 17, 16, 17, 17]","[0, 0, 25, 25, 24, 24, 25, 25, 25, 25, 25, 26, 26, 24, 23, 21, 11]","[0, 1, 21, 21, 21, 22, 22, 22, 22, 22, 18, 17, 17, 14, 14, 16, 9]","[0, 2, 19, 19, 21, 21, 21, 21, 21, 21, 16, 20, 20, 15, 15, 20, 9]","[0, 0, 22, 22, 22, 23, 24, 24, 24, 24, 22, 24, 24, 26, 22, 21, 12]","[0, 0, 22, 22, 22, 22, 22, 22, 22, 22, 20, 18, 18, 16, 16, 18, 8]","[0, 1, 25, 25, 25, 25, 26, 26, 26, 25, 22, 19, 19, 19, 17, 17, 12]","[0, 0, 21, 21, 21, 20, 20, 20, 20, 20, 18, 23, 26, 22, 21, 15, 11]","[0, 0, 15, 15, 17, 18, 17, 17, 17, 18, 22, 20, 19, 16, 16, 16, 10]"
08:29:00,metro52_1,"[86, 86, 76, 69, 44, 24, 9]","[66, 62, 57, 56, 43, 20, 17]","[65, 61, 52, 51, 36, 15, 10]","[74, 66, 66, 58, 42, 21, 16]","[61, 61, 56, 55, 45, 16, 12]","[76, 76, 61, 53, 43, 11, 9]","[84, 79, 75, 72, 54, 25, 19]","[77, 72, 67, 65, 50, 18, 12]","[60, 57, 50, 51, 36, 18, 12]","[59, 58, 47, 48, 36, 12, 8]"
08:30:00,metro50_1,"[11, 19, 28, 41, 59, 67, 71, 104, 107, 105, 41, 25, 23, 22, 20, 17]","[13, 31, 44, 52, 61, 65, 73, 93, 93, 93, 53, 41, 37, 34, 28, 24]","[15, 29, 44, 58, 75, 83, 91, 109, 110, 110, 38, 25, 25, 23, 18, 15]","[17, 33, 42, 57, 74, 81, 88, 113, 113, 114, 63, 46, 43, 41, 35, 30]","[8, 24, 27, 38, 48, 56, 59, 95, 93, 93, 44, 39, 35, 29, 27, 22]","[10, 19, 32, 50, 61, 63, 69, 92, 93, 92, 43, 24, 22, 21, 18, 17]","[7, 22, 36, 47, 66, 77, 83, 106, 107, 110, 44, 31, 29, 29, 25, 21]","[11, 24, 35, 46, 59, 65, 69, 89, 91, 91, 37, 24, 22, 22, 19, 16]","[9, 26, 34, 58, 72, 79, 84, 127, 129, 127, 56, 43, 36, 34, 30, 25]","[14, 29, 34, 45, 48, 52, 56, 97, 94, 94, 43, 32, 29, 26, 17, 16]"
08:30:00,metro52_0,"[52, 65, 47, 45, 41, 26, 25]","[49, 62, 48, 44, 40, 34, 38]","[48, 57, 47, 45, 45, 39, 39]","[61, 77, 64, 61, 58, 51, 52]","[55, 65, 56, 55, 53, 42, 44]","[57, 77, 72, 66, 61, 53, 48]","[45, 61, 42, 35, 39, 40, 45]","[54, 69, 60, 61, 62, 49, 43]","[66, 78, 70, 59, 54, 44, 45]","[57, 70, 66, 62, 61, 47, 46]"
08:31:00,metro50_0,"[1, 21, 25, 34, 36, 46, 48, 53, 44, 52, 41, 43, 39, 35, 32]","[0, 13, 19, 23, 27, 32, 34, 43, 38, 48, 37, 41, 41, 38, 31]","[0, 12, 19, 23, 25, 32, 36, 42, 36, 45, 41, 42, 47, 45, 41]","[2, 16, 21, 30, 33, 37, 40, 43, 39, 46, 43, 41, 35, 31, 31]","[1, 13, 19, 24, 30, 41, 44, 51, 38, 42, 41, 39, 33, 32, 31]","[2, 13, 14, 20, 25, 29, 32, 39, 38, 57, 53, 54, 35, 32, 28]","[2, 17, 22, 27, 28, 35, 38, 42, 36, 45, 35, 37, 32, 28, 27]","[2, 18, 21, 29, 34, 37, 46, 51, 43, 63, 55, 53, 43, 41, 40]","[2, 17, 22, 30, 36, 42, 47, 53, 49, 62, 57, 54, 49, 43, 41]","[1, 17, 21, 23, 29, 38, 40, 43, 40, 45, 38, 37, 33, 32, 28]"
08:33:00,metro53_0,"[6, 21, 21, 21, 34, 49, 52, 52, 44, 46, 43, 43, 45]","[12, 39, 39, 42, 51, 59, 62, 63, 47, 47, 40, 37, 37]","[8, 31, 31, 31, 39, 51, 61, 63, 45, 45, 45, 42, 39]","[12, 42, 42, 44, 55, 68, 65, 66, 43, 44, 46, 37, 35]","[8, 35, 35, 35, 57, 70, 58, 57, 40, 42, 42, 34, 36]","[11, 41, 41, 45, 52, 61, 57, 65, 50, 53, 49, 46, 40]","[8, 26, 26, 29, 39, 47, 54, 54, 36, 37, 33, 34, 35]","[5, 25, 25, 30, 41, 55, 52, 52, 44, 45, 43, 41, 41]","[7, 25, 25, 25, 45, 55, 50, 53, 44, 45, 42, 39, 41]","[3, 30, 30, 32, 43, 54, 55, 56, 46, 49, 52, 52, 47]"
08:33:00,metro53_1,"[33, 30, 24, 26, 28, 27, 30, 9, 6, 5, 5, 5, 0]","[29, 29, 28, 34, 32, 26, 26, 15, 11, 8, 7, 7, 0]","[29, 27, 24, 23, 26, 29, 28, 11, 7, 4, 4, 4, 1]","[28, 26, 26, 24, 24, 22, 22, 11, 9, 3, 3, 3, 0]","[31, 26, 27, 27, 31, 31, 32, 12, 10, 6, 6, 6, 0]","[25, 22, 21, 22, 25, 27, 28, 11, 10, 5, 5, 5, 2]","[31, 29, 27, 28, 29, 33, 32, 12, 10, 7, 7, 7, 0]","[34, 31, 31, 29, 32, 26, 27, 9, 9, 6, 6, 6, 1]","[29, 25, 23, 22, 20, 20, 21, 7, 7, 4, 4, 4, 1]","[36, 34, 36, 32, 32, 29, 28, 14, 12, 11, 11, 11, 1]"
