station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,2.0,2.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,4.0
Amstelstation,160.0,162.0,162.0,174.0,165.0,166.0,169.0,157.0,176.0,173.0
Amstelveenseweg,61.0,65.0,54.0,63.0,62.0,58.0,72.0,67.0,75.0,56.0
Beethovenstraat,3.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,4.0,3.0
Bullewijk,65.0,81.0,59.0,74.0,64.0,67.0,65.0,67.0,72.0,72.0
Burg.de Vlugtlaan,30.0,31.0,33.0,30.0,32.0,28.0,26.0,26.0,28.0,28.0
Centraal Station,1229.0,1319.0,1215.0,1223.0,1281.0,1341.0,1261.0,1340.0,1260.0,1285.0
Cornelis Troostplein,12.0,11.0,8.0,11.0,9.0,8.0,8.0,6.0,7.0,10.0
Dam,287.0,289.0,268.0,248.0,274.0,259.0,257.0,230.0,273.0,278.0
De Boelelaan/VU,1.0,1.0,,1.0,1.0,2.0,,2.0,1.0,2.0
De Pijp,956.0,901.0,970.0,894.0,952.0,932.0,945.0,995.0,901.0,852.0
Europaplein,158.0,166.0,159.0,158.0,174.0,174.0,164.0,178.0,161.0,194.0
Gaasperplas,35.0,22.0,28.0,30.0,35.0,30.0,24.0,24.0,39.0,30.0
Gein,40.0,44.0,36.0,50.0,41.0,35.0,45.0,39.0,44.0,45.0
Gerrit v.d. Veenstraat,23.0,15.0,21.0,11.0,24.0,21.0,16.0,18.0,21.0,23.0
Heemstedestraat,24.0,21.0,21.0,12.0,23.0,22.0,18.0,20.0,14.0,21.0
Henk Sneevlietweg,32.0,28.0,35.0,27.0,28.0,30.0,25.0,21.0,25.0,26.0
IJsbaanpad,1.0,,2.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0
Isolatorweg,14.0,18.0,20.0,10.0,15.0,17.0,12.0,14.0,14.0,10.0
Jan v.Galenstraat,33.0,25.0,28.0,21.0,25.0,29.0,30.0,35.0,27.0,32.0
Keizersgracht,36.0,35.0,31.0,29.0,34.0,33.0,31.0,29.0,24.0,28.0
Koningsplein,75.0,73.0,91.0,100.0,91.0,75.0,80.0,81.0,84.0,83.0
Kraaienneststation,76.0,80.0,75.0,67.0,82.0,91.0,65.0,71.0,78.0,77.0
Leidseplein,107.0,86.0,90.0,90.0,88.0,82.0,89.0,85.0,75.0,94.0
Maasstraat,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,5.0
Marie Heinekenplein,148.0,149.0,166.0,175.0,145.0,158.0,168.0,171.0,173.0,156.0
Minervaplein,,,2.0,1.0,2.0,1.0,1.0,2.0,,
Muntplein,109.0,98.0,100.0,97.0,108.0,94.0,109.0,102.0,109.0,110.0
Museumplein,99.0,114.0,80.0,121.0,85.0,102.0,101.0,112.0,118.0,105.0
Nieuwezijds Kolk,40.0,41.0,36.0,42.0,39.0,39.0,27.0,56.0,33.0,38.0
Nieuwmarkt,181.0,153.0,159.0,183.0,169.0,183.0,165.0,195.0,190.0,162.0
Noord,255.0,285.0,262.0,251.0,258.0,261.0,259.0,253.0,255.0,264.0
Noorderpark,134.0,146.0,160.0,152.0,135.0,144.0,134.0,145.0,159.0,143.0
Olympiaplein,14.0,16.0,16.0,10.0,26.0,16.0,21.0,15.0,13.0,8.0
Olympiaweg,24.0,10.0,15.0,24.0,7.0,9.0,11.0,21.0,17.0,19.0
Olympisch stadion,20.0,19.0,15.0,18.0,20.0,16.0,21.0,19.0,18.0,20.0
