station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,12.0,10.0,7.0,11.0,11.0,11.0,9.0,8.0,14.0,14.0
Amstelstation,1093.0,1074.0,1045.0,1074.0,982.0,1075.0,1095.0,1066.0,1099.0,1095.0
Amstelveenseweg,207.0,209.0,200.0,195.0,208.0,193.0,195.0,212.0,209.0,189.0
Beethovenstraat,8.0,10.0,9.0,8.0,10.0,7.0,5.0,10.0,7.0,9.0
Bullewijk,206.0,208.0,229.0,204.0,178.0,198.0,195.0,214.0,214.0,240.0
Burg.de Vlugtlaan,194.0,214.0,241.0,250.0,239.0,246.0,205.0,224.0,214.0,212.0
Centraal Station,1971.0,1982.0,1973.0,2045.0,1990.0,1955.0,1981.0,2030.0,1940.0,2008.0
Cornelis Troostplein,24.0,26.0,21.0,21.0,28.0,23.0,21.0,19.0,22.0,23.0
Dam,29.0,36.0,30.0,36.0,45.0,24.0,28.0,30.0,35.0,22.0
De Boelelaan/VU,3.0,6.0,9.0,4.0,5.0,5.0,10.0,5.0,10.0,4.0
De Pijp,1018.0,1029.0,1006.0,1049.0,1029.0,996.0,1045.0,1098.0,1075.0,1031.0
Europaplein,305.0,262.0,297.0,335.0,288.0,272.0,283.0,312.0,315.0,297.0
Gaasperplas,167.0,198.0,154.0,185.0,177.0,200.0,180.0,173.0,190.0,170.0
Gein,250.0,307.0,249.0,269.0,274.0,311.0,295.0,272.0,278.0,271.0
Gerrit v.d. Veenstraat,17.0,26.0,24.0,25.0,26.0,29.0,23.0,25.0,21.0,22.0
Heemstedestraat,180.0,168.0,190.0,148.0,170.0,172.0,162.0,180.0,170.0,171.0
Henk Sneevlietweg,193.0,209.0,179.0,187.0,169.0,195.0,181.0,192.0,193.0,195.0
IJsbaanpad,,,1.0,,2.0,,,,,
Isolatorweg,8.0,15.0,10.0,16.0,11.0,11.0,16.0,14.0,15.0,9.0
Jan v.Galenstraat,232.0,180.0,237.0,222.0,212.0,215.0,211.0,223.0,220.0,200.0
Keizersgracht,5.0,4.0,5.0,6.0,5.0,8.0,10.0,4.0,4.0,7.0
Koningsplein,7.0,11.0,7.0,15.0,9.0,12.0,9.0,8.0,14.0,10.0
Kraaienneststation,485.0,513.0,492.0,544.0,509.0,514.0,500.0,528.0,521.0,517.0
Leidseplein,43.0,45.0,54.0,39.0,42.0,35.0,39.0,36.0,33.0,46.0
Maasstraat,16.0,26.0,14.0,31.0,23.0,21.0,20.0,18.0,21.0,22.0
Marie Heinekenplein,30.0,32.0,33.0,35.0,26.0,30.0,34.0,27.0,25.0,35.0
