station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,10.0,14.0,17.0,15.0,20.0,14.0,12.0,12.0,11.0,20.0
Amstelstation,1020.0,1047.0,1087.0,1022.0,1060.0,1017.0,1047.0,1009.0,1062.0,1069.0
Amstelveenseweg,210.0,235.0,223.0,225.0,207.0,237.0,211.0,244.0,223.0,233.0
Beethovenstraat,1.0,10.0,2.0,3.0,6.0,5.0,6.0,4.0,4.0,8.0
Bullewijk,201.0,222.0,215.0,204.0,224.0,207.0,214.0,231.0,204.0,185.0
Burg.de Vlugtlaan,167.0,166.0,164.0,168.0,143.0,161.0,145.0,166.0,161.0,179.0
Centraal Station,2448.0,2426.0,2512.0,2521.0,2485.0,2510.0,2447.0,2574.0,2535.0,2485.0
Cornelis Troostplein,25.0,34.0,29.0,24.0,23.0,21.0,32.0,27.0,32.0,35.0
Dam,317.0,322.0,300.0,269.0,280.0,308.0,296.0,275.0,322.0,263.0
De Boelelaan/VU,3.0,6.0,5.0,3.0,2.0,4.0,4.0,5.0,1.0,2.0
De Pijp,1225.0,1225.0,1152.0,1243.0,1233.0,1290.0,1182.0,1190.0,1206.0,1245.0
Europaplein,434.0,432.0,388.0,445.0,450.0,403.0,439.0,401.0,390.0,424.0
Gaasperplas,174.0,165.0,157.0,153.0,162.0,141.0,162.0,158.0,155.0,170.0
Gein,286.0,267.0,258.0,249.0,270.0,264.0,280.0,273.0,248.0,273.0
Gerrit v.d. Veenstraat,28.0,39.0,42.0,46.0,32.0,38.0,51.0,42.0,32.0,32.0
Heemstedestraat,139.0,133.0,126.0,130.0,138.0,147.0,159.0,126.0,123.0,128.0
Henk Sneevlietweg,180.0,177.0,173.0,176.0,173.0,195.0,182.0,169.0,175.0,167.0
IJsbaanpad,8.0,2.0,4.0,5.0,3.0,5.0,6.0,7.0,2.0,9.0
Isolatorweg,29.0,19.0,20.0,24.0,20.0,14.0,18.0,20.0,25.0,17.0
Jan v.Galenstraat,162.0,154.0,137.0,145.0,137.0,131.0,162.0,153.0,155.0,147.0
Keizersgracht,37.0,36.0,33.0,37.0,26.0,34.0,30.0,28.0,22.0,34.0
Koningsplein,93.0,71.0,78.0,64.0,98.0,85.0,74.0,72.0,77.0,88.0
Kraaienneststation,456.0,402.0,415.0,448.0,394.0,420.0,432.0,424.0,448.0,429.0
Leidseplein,116.0,136.0,116.0,146.0,121.0,112.0,145.0,105.0,118.0,140.0
Maasstraat,16.0,19.0,18.0,28.0,16.0,15.0,22.0,24.0,20.0,21.0
Marie Heinekenplein,96.0,108.0,71.0,102.0,93.0,94.0,81.0,90.0,98.0,83.0
Minervaplein,12.0,10.0,11.0,7.0,15.0,9.0,7.0,10.0,11.0,8.0
Muntplein,109.0,104.0,97.0,89.0,96.0,108.0,96.0,119.0,112.0,111.0
Museumplein,62.0,67.0,56.0,65.0,80.0,61.0,66.0,52.0,67.0,68.0
Nieuwezijds Kolk,54.0,56.0,55.0,60.0,64.0,65.0,56.0,50.0,58.0,45.0
Nieuwmarkt,216.0,201.0,198.0,183.0,197.0,221.0,177.0,195.0,179.0,183.0
Noord,2207.0,2260.0,2354.0,2233.0,2225.0,2272.0,2260.0,2269.0,2274.0,2282.0
Noorderpark,499.0,511.0,522.0,521.0,523.0,520.0,532.0,557.0,486.0,551.0
Olympiaplein,39.0,68.0,57.0,41.0,55.0,59.0,81.0,53.0,72.0,77.0
Olympiaweg,45.0,44.0,46.0,43.0,43.0,43.0,42.0,42.0,52.0,32.0
Olympisch stadion,57.0,50.0,44.0,51.0,40.0,51.0,58.0,44.0,50.0,55.0
Overamstel,74.0,71.0,79.0,65.0,76.0,77.0,96.0,74.0,76.0,66.0
Postjesweg,160.0,149.0,166.0,149.0,147.0,172.0,159.0,151.0,153.0,185.0
Prinsengracht,54.0,50.0,46.0,43.0,58.0,47.0,48.0,51.0,50.0,48.0
Reigersbos,293.0,292.0,288.0,298.0,278.0,308.0,298.0,323.0,286.0,294.0
Rijksmuseum,53.0,49.0,66.0,64.0,59.0,55.0,53.0,58.0,60.0,65.0
Roelof Hartplein,152.0,174.0,175.0,187.0,165.0,168.0,156.0,161.0,170.0,162.0
Rokin,841.0,837.0,815.0,848.0,851.0,865.0,846.0,819.0,818.0,828.0
Scheldestraat,20.0,17.0,17.0,28.0,15.0,19.0,17.0,21.0,15.0,23.0
Spaklerweg,131.0,100.0,120.0,110.0,102.0,122.0,108.0,105.0,108.0,109.0
Spui,63.0,56.0,68.0,58.0,61.0,65.0,60.0,61.0,59.0,54.0
Station Bijlmer ArenA,774.0,789.0,806.0,780.0,775.0,787.0,773.0,806.0,768.0,812.0
Station Diemen-Zuid,357.0,366.0,350.0,351.0,355.0,366.0,370.0,338.0,368.0,340.0
Station Duivendrecht,724.0,791.0,718.0,682.0,715.0,686.0,692.0,733.0,738.0,696.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,309.0,302.0,313.0,286.0,297.0,289.0,281.0,283.0,339.0,285.0
Station RAI,235.0,215.0,228.0,218.0,236.0,225.0,217.0,218.0,222.0,201.0
Station Sloterdijk,891.0,869.0,885.0,926.0,853.0,880.0,847.0,884.0,897.0,861.0
Strandvliet,163.0,167.0,156.0,139.0,127.0,148.0,151.0,170.0,131.0,141.0
Van Baerlestraat,47.0,46.0,40.0,41.0,50.0,63.0,55.0,40.0,44.0,40.0
Van der Madeweg,284.0,265.0,290.0,276.0,319.0,256.0,285.0,258.0,272.0,274.0
Venserpolder,219.0,193.0,219.0,226.0,222.0,197.0,203.0,183.0,198.0,207.0
Verrijn Stuartweg,56.0,56.0,61.0,49.0,59.0,59.0,63.0,57.0,67.0,64.0
Victorieplein,57.0,52.0,49.0,44.0,55.0,47.0,44.0,48.0,48.0,43.0
Vijzelgracht,454.0,440.0,474.0,505.0,490.0,457.0,503.0,480.0,478.0,478.0
VU medisch centrum,11.0,12.0,13.0,12.0,9.0,9.0,21.0,3.0,9.0,20.0
Waalstraat,21.0,21.0,18.0,21.0,10.0,19.0,17.0,17.0,28.0,17.0
Waterlooplein,231.0,239.0,250.0,254.0,255.0,243.0,257.0,240.0,252.0,248.0
Weesperplein,302.0,273.0,272.0,308.0,256.0,235.0,265.0,295.0,303.0,264.0
Wibautstraat,302.0,324.0,304.0,292.0,297.0,302.0,302.0,310.0,315.0,297.0
Station Zuid,3256.0,3278.0,3288.0,3270.0,3375.0,3258.0,3298.0,3293.0,3238.0,3281.0
Station Lelylaan,256.0,240.0,215.0,253.0,250.0,266.0,272.0,271.0,251.0,270.0
