MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD;LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;LAT;LON;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE;PROCES_TYPE
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:40:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:50:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:50:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:00:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:00:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:10:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:10:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:20:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:20:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:30:00;;6.8;6.8;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:30:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:40:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:40:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:50:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;01:50:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:00:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:00:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:10:00;;6.8;6.8;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:10:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:20:00;;6.8;6.8;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:20:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:30:00;;6.8;6.8;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:30:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:40:00;;6.8;6.8;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:40:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:50:00;;6.7;6.7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;02:50:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:00:00;;6.7;6.7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:00:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:10:00;;6.6;6.6;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:10:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:20:00;;6.8;6.8;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:20:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:30:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:30:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:40:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:40:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:50:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;03:50:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;04:00:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;04:00:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;04:10:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;04:10:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;04:20:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
