station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,14.0,6.0,7.0,5.0,8.0,7.0,6.0,9.0,10.0,10.0
Amstelstation,244.0,281.0,285.0,264.0,251.0,282.0,252.0,270.0,271.0,262.0
Amstelveenseweg,102.0,82.0,99.0,106.0,86.0,95.0,91.0,90.0,82.0,84.0
Beethovenstraat,9.0,13.0,14.0,8.0,7.0,12.0,18.0,8.0,14.0,7.0
Bullewijk,154.0,137.0,160.0,143.0,141.0,124.0,139.0,156.0,129.0,130.0
Burg.de Vlugtlaan,63.0,53.0,47.0,54.0,45.0,39.0,49.0,56.0,50.0,50.0
Centraal Station,978.0,936.0,977.0,974.0,978.0,991.0,1012.0,1021.0,1059.0,1012.0
Cornelis Troostplein,14.0,20.0,13.0,20.0,18.0,25.0,12.0,16.0,26.0,14.0
Dam,306.0,301.0,290.0,294.0,286.0,254.0,287.0,291.0,307.0,262.0
De Boelelaan/VU,12.0,10.0,14.0,10.0,11.0,7.0,10.0,11.0,10.0,10.0
De Pijp,1064.0,1137.0,1094.0,1143.0,1097.0,1148.0,1154.0,1104.0,1112.0,1080.0
Europaplein,390.0,417.0,435.0,412.0,456.0,369.0,418.0,420.0,415.0,424.0
Gaasperplas,106.0,108.0,100.0,81.0,102.0,104.0,112.0,94.0,94.0,96.0
Gein,103.0,106.0,121.0,109.0,124.0,116.0,108.0,93.0,113.0,124.0
Gerrit v.d. Veenstraat,35.0,32.0,27.0,32.0,42.0,32.0,24.0,34.0,33.0,32.0
Heemstedestraat,36.0,39.0,48.0,39.0,50.0,53.0,49.0,32.0,40.0,41.0
Henk Sneevlietweg,69.0,42.0,67.0,55.0,72.0,70.0,57.0,50.0,59.0,58.0
IJsbaanpad,2.0,8.0,3.0,7.0,7.0,8.0,2.0,6.0,4.0,7.0
Isolatorweg,13.0,12.0,15.0,18.0,11.0,20.0,8.0,22.0,20.0,20.0
Jan v.Galenstraat,53.0,49.0,50.0,44.0,59.0,53.0,71.0,53.0,52.0,62.0
Keizersgracht,42.0,33.0,45.0,29.0,31.0,36.0,27.0,41.0,37.0,40.0
Koningsplein,92.0,106.0,99.0,95.0,89.0,108.0,96.0,118.0,98.0,86.0
Kraaienneststation,196.0,203.0,196.0,189.0,187.0,173.0,186.0,188.0,198.0,197.0
Leidseplein,141.0,133.0,124.0,137.0,129.0,131.0,133.0,106.0,98.0,141.0
Maasstraat,14.0,12.0,15.0,14.0,14.0,12.0,12.0,9.0,18.0,21.0
Marie Heinekenplein,214.0,210.0,217.0,220.0,196.0,252.0,221.0,242.0,213.0,227.0
Minervaplein,14.0,17.0,17.0,19.0,13.0,17.0,14.0,20.0,18.0,19.0
Muntplein,110.0,111.0,98.0,95.0,113.0,94.0,104.0,98.0,97.0,116.0
Museumplein,81.0,91.0,92.0,83.0,103.0,93.0,104.0,79.0,89.0,84.0
Nieuwezijds Kolk,36.0,55.0,45.0,38.0,41.0,46.0,39.0,34.0,52.0,49.0
Nieuwmarkt,105.0,116.0,109.0,113.0,105.0,116.0,90.0,107.0,107.0,88.0
Noord,851.0,809.0,805.0,865.0,818.0,825.0,765.0,829.0,851.0,869.0
Noorderpark,311.0,323.0,307.0,333.0,311.0,311.0,328.0,329.0,306.0,359.0
Olympiaplein,48.0,51.0,44.0,52.0,41.0,29.0,40.0,34.0,30.0,48.0
Olympiaweg,26.0,28.0,25.0,23.0,27.0,33.0,32.0,25.0,31.0,32.0
Olympisch stadion,46.0,56.0,43.0,42.0,58.0,44.0,59.0,42.0,39.0,38.0
Overamstel,55.0,54.0,53.0,54.0,63.0,56.0,53.0,60.0,49.0,53.0
Postjesweg,45.0,44.0,64.0,47.0,56.0,52.0,49.0,59.0,46.0,50.0
Prinsengracht,45.0,47.0,58.0,55.0,44.0,46.0,55.0,49.0,45.0,42.0
Reigersbos,121.0,141.0,134.0,161.0,139.0,141.0,175.0,134.0,147.0,137.0
Rijksmuseum,124.0,119.0,143.0,133.0,152.0,120.0,124.0,110.0,143.0,130.0
Roelof Hartplein,123.0,124.0,118.0,130.0,115.0,124.0,127.0,115.0,116.0,113.0
Rokin,803.0,782.0,769.0,778.0,730.0,744.0,723.0,834.0,760.0,776.0
Scheldestraat,10.0,11.0,16.0,9.0,9.0,10.0,18.0,13.0,16.0,16.0
Spaklerweg,68.0,68.0,71.0,68.0,64.0,56.0,57.0,52.0,56.0,53.0
Spui,72.0,78.0,71.0,62.0,87.0,70.0,71.0,61.0,71.0,82.0
Station Bijlmer ArenA,429.0,418.0,459.0,451.0,423.0,391.0,425.0,419.0,427.0,413.0
Station Diemen-Zuid,163.0,186.0,197.0,185.0,176.0,176.0,189.0,176.0,190.0,178.0
Station Duivendrecht,68.0,92.0,74.0,76.0,93.0,96.0,95.0,84.0,80.0,93.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,126.0,128.0,114.0,131.0,133.0,122.0,117.0,113.0,122.0,121.0
Station RAI,101.0,88.0,86.0,100.0,94.0,100.0,85.0,92.0,86.0,94.0
Station Sloterdijk,189.0,153.0,198.0,175.0,158.0,219.0,214.0,181.0,197.0,158.0
Strandvliet,74.0,91.0,73.0,75.0,70.0,72.0,77.0,77.0,80.0,75.0
Van Baerlestraat,74.0,79.0,85.0,102.0,106.0,90.0,102.0,91.0,92.0,91.0
Van der Madeweg,151.0,137.0,139.0,142.0,134.0,159.0,137.0,137.0,149.0,129.0
Venserpolder,122.0,105.0,101.0,99.0,108.0,117.0,95.0,118.0,106.0,88.0
Verrijn Stuartweg,30.0,20.0,37.0,25.0,23.0,22.0,27.0,31.0,18.0,33.0
Victorieplein,29.0,36.0,31.0,27.0,38.0,23.0,23.0,36.0,29.0,28.0
