station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,8.0,1.0,1.0,5.0,7.0,6.0,5.0,4.0,3.0,8.0
Amstelstation,196.0,226.0,205.0,223.0,230.0,217.0,197.0,216.0,212.0,218.0
Amstelveenseweg,73.0,53.0,52.0,51.0,54.0,55.0,79.0,69.0,66.0,52.0
Beethovenstraat,3.0,1.0,2.0,1.0,2.0,2.0,,1.0,3.0,6.0
Bullewijk,149.0,144.0,138.0,152.0,149.0,156.0,129.0,146.0,167.0,131.0
Burg.de Vlugtlaan,46.0,46.0,42.0,39.0,47.0,52.0,44.0,36.0,42.0,54.0
Centraal Station,1165.0,1188.0,1240.0,1148.0,1159.0,1169.0,1148.0,1156.0,1192.0,1175.0
Cornelis Troostplein,13.0,25.0,11.0,17.0,16.0,16.0,17.0,11.0,15.0,16.0
Dam,359.0,368.0,309.0,371.0,339.0,348.0,385.0,351.0,323.0,321.0
De Boelelaan/VU,,1.0,,,,3.0,1.0,3.0,1.0,2.0
De Pijp,1163.0,1094.0,1180.0,1191.0,1189.0,1086.0,1067.0,1120.0,1129.0,1175.0
Europaplein,300.0,293.0,291.0,316.0,296.0,312.0,310.0,260.0,294.0,315.0
Gaasperplas,73.0,89.0,67.0,93.0,83.0,78.0,76.0,81.0,78.0,79.0
Gein,104.0,92.0,99.0,78.0,101.0,83.0,87.0,80.0,102.0,85.0
Gerrit v.d. Veenstraat,29.0,21.0,26.0,29.0,36.0,17.0,19.0,16.0,24.0,19.0
Heemstedestraat,21.0,35.0,41.0,31.0,22.0,36.0,26.0,25.0,21.0,31.0
Henk Sneevlietweg,50.0,56.0,48.0,64.0,57.0,69.0,59.0,71.0,62.0,59.0
IJsbaanpad,2.0,,1.0,1.0,3.0,,1.0,,,
Isolatorweg,121.0,113.0,125.0,100.0,116.0,113.0,102.0,120.0,119.0,120.0
Jan v.Galenstraat,51.0,58.0,54.0,40.0,47.0,53.0,41.0,53.0,49.0,54.0
Keizersgracht,33.0,39.0,31.0,49.0,47.0,40.0,40.0,29.0,33.0,49.0
Koningsplein,86.0,120.0,104.0,100.0,93.0,115.0,97.0,96.0,97.0,100.0
Kraaienneststation,149.0,138.0,135.0,135.0,140.0,147.0,135.0,144.0,157.0,130.0
Leidseplein,130.0,159.0,141.0,131.0,147.0,136.0,129.0,133.0,139.0,157.0
Maasstraat,14.0,9.0,13.0,11.0,8.0,10.0,5.0,12.0,9.0,12.0
Marie Heinekenplein,162.0,185.0,169.0,170.0,187.0,147.0,176.0,173.0,180.0,175.0
Minervaplein,3.0,1.0,6.0,9.0,5.0,3.0,6.0,4.0,6.0,2.0
Muntplein,149.0,144.0,130.0,152.0,131.0,165.0,132.0,151.0,147.0,147.0
Museumplein,83.0,65.0,94.0,91.0,71.0,88.0,63.0,93.0,89.0,96.0
Nieuwezijds Kolk,48.0,56.0,47.0,53.0,45.0,58.0,43.0,59.0,50.0,65.0
Nieuwmarkt,149.0,147.0,182.0,155.0,185.0,189.0,190.0,151.0,161.0,197.0
Noord,615.0,645.0,673.0,646.0,600.0,627.0,665.0,637.0,622.0,651.0
Noorderpark,289.0,280.0,293.0,246.0,292.0,322.0,318.0,279.0,273.0,295.0
Olympiaplein,32.0,28.0,32.0,32.0,25.0,29.0,26.0,25.0,30.0,23.0
Olympiaweg,26.0,19.0,23.0,11.0,31.0,32.0,24.0,21.0,30.0,19.0
Olympisch stadion,34.0,33.0,27.0,25.0,17.0,30.0,28.0,31.0,25.0,33.0
Overamstel,42.0,44.0,51.0,53.0,57.0,55.0,50.0,44.0,39.0,54.0
Postjesweg,43.0,42.0,24.0,60.0,32.0,36.0,43.0,40.0,58.0,38.0
Prinsengracht,68.0,40.0,51.0,46.0,46.0,44.0,35.0,46.0,48.0,34.0
Reigersbos,117.0,117.0,123.0,130.0,122.0,126.0,132.0,108.0,114.0,96.0
Rijksmuseum,130.0,149.0,141.0,145.0,142.0,127.0,135.0,146.0,139.0,120.0
Roelof Hartplein,124.0,138.0,124.0,125.0,103.0,120.0,141.0,125.0,119.0,116.0
Rokin,1351.0,1349.0,1316.0,1300.0,1313.0,1319.0,1402.0,1357.0,1384.0,1326.0
Scheldestraat,9.0,15.0,9.0,11.0,6.0,12.0,4.0,11.0,11.0,13.0
Spaklerweg,58.0,54.0,55.0,51.0,64.0,44.0,48.0,49.0,37.0,61.0
Spui,62.0,66.0,62.0,76.0,65.0,64.0,70.0,69.0,60.0,66.0
Station Bijlmer ArenA,431.0,430.0,398.0,423.0,408.0,435.0,444.0,442.0,449.0,435.0
Station Diemen-Zuid,108.0,91.0,96.0,106.0,96.0,101.0,101.0,99.0,104.0,92.0
Station Duivendrecht,69.0,68.0,58.0,63.0,72.0,74.0,67.0,80.0,64.0,65.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,113.0,109.0,93.0,138.0,118.0,104.0,122.0,112.0,95.0,107.0
Station RAI,105.0,113.0,104.0,86.0,103.0,95.0,115.0,102.0,103.0,81.0
Station Sloterdijk,143.0,158.0,136.0,119.0,140.0,137.0,116.0,148.0,145.0,134.0
Strandvliet,55.0,69.0,81.0,77.0,82.0,69.0,67.0,67.0,63.0,78.0
Van Baerlestraat,90.0,93.0,95.0,96.0,97.0,106.0,95.0,90.0,97.0,96.0
Van der Madeweg,124.0,121.0,109.0,144.0,125.0,128.0,112.0,139.0,135.0,138.0
Venserpolder,62.0,55.0,67.0,76.0,77.0,59.0,66.0,84.0,73.0,63.0
Verrijn Stuartweg,13.0,15.0,14.0,20.0,11.0,16.0,12.0,16.0,15.0,17.0
Victorieplein,18.0,23.0,25.0,31.0,21.0,21.0,30.0,26.0,18.0,24.0
Vijzelgracht,572.0,558.0,540.0,540.0,549.0,587.0,569.0,607.0,547.0,567.0
VU medisch centrum,19.0,6.0,25.0,13.0,16.0,16.0,15.0,25.0,17.0,20.0
Waalstraat,7.0,8.0,8.0,7.0,4.0,7.0,3.0,10.0,11.0,9.0
Waterlooplein,215.0,187.0,223.0,208.0,225.0,231.0,190.0,229.0,205.0,218.0
Weesperplein,117.0,99.0,107.0,96.0,107.0,106.0,113.0,97.0,95.0,98.0
Wibautstraat,112.0,127.0,121.0,112.0,120.0,97.0,109.0,111.0,115.0,106.0
Station Zuid,903.0,885.0,924.0,892.0,897.0,858.0,921.0,868.0,892.0,862.0
Station Lelylaan,64.0,71.0,60.0,62.0,77.0,69.0,75.0,68.0,70.0,67.0
