station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,11.0,17.0,10.0,12.0,13.0,10.0,15.0,16.0,11.0,7.0
Amstelstation,1063.0,1015.0,1044.0,1031.0,1022.0,1004.0,1057.0,1045.0,1024.0,1027.0
Amstelveenseweg,213.0,226.0,229.0,202.0,231.0,230.0,225.0,201.0,222.0,226.0
Beethovenstraat,9.0,4.0,8.0,3.0,4.0,7.0,7.0,7.0,10.0,2.0
Bullewijk,216.0,237.0,244.0,238.0,231.0,219.0,244.0,221.0,251.0,197.0
Burg.de Vlugtlaan,155.0,161.0,172.0,157.0,170.0,169.0,174.0,149.0,171.0,163.0
Centraal Station,2502.0,2431.0,2503.0,2477.0,2409.0,2481.0,2522.0,2491.0,2439.0,2512.0
Cornelis Troostplein,33.0,21.0,22.0,36.0,35.0,25.0,24.0,28.0,27.0,25.0
Dam,293.0,271.0,310.0,296.0,303.0,290.0,306.0,291.0,304.0,286.0
De Boelelaan/VU,2.0,4.0,3.0,4.0,2.0,8.0,6.0,4.0,4.0,3.0
De Pijp,1245.0,1267.0,1208.0,1196.0,1249.0,1220.0,1194.0,1190.0,1233.0,1179.0
Europaplein,417.0,403.0,394.0,406.0,424.0,430.0,402.0,400.0,435.0,443.0
Gaasperplas,159.0,162.0,178.0,149.0,151.0,147.0,161.0,161.0,157.0,163.0
Gein,242.0,268.0,263.0,286.0,282.0,249.0,256.0,253.0,246.0,243.0
Gerrit v.d. Veenstraat,31.0,37.0,51.0,31.0,28.0,28.0,32.0,36.0,37.0,44.0
Heemstedestraat,122.0,121.0,118.0,138.0,118.0,135.0,124.0,121.0,140.0,125.0
Henk Sneevlietweg,177.0,164.0,199.0,173.0,152.0,158.0,177.0,169.0,165.0,170.0
IJsbaanpad,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0
Isolatorweg,30.0,21.0,27.0,20.0,13.0,19.0,21.0,34.0,20.0,18.0
Jan v.Galenstraat,168.0,153.0,138.0,161.0,144.0,144.0,161.0,142.0,153.0,161.0
Keizersgracht,34.0,32.0,42.0,28.0,28.0,41.0,32.0,35.0,33.0,38.0
Koningsplein,79.0,80.0,71.0,80.0,73.0,74.0,76.0,85.0,80.0,87.0
Kraaienneststation,414.0,453.0,406.0,398.0,475.0,425.0,440.0,439.0,412.0,434.0
Leidseplein,136.0,148.0,128.0,138.0,133.0,128.0,153.0,123.0,118.0,120.0
Maasstraat,20.0,14.0,18.0,19.0,12.0,18.0,22.0,21.0,22.0,22.0
Marie Heinekenplein,90.0,85.0,89.0,96.0,90.0,100.0,79.0,91.0,93.0,89.0
Minervaplein,5.0,8.0,12.0,11.0,8.0,12.0,11.0,11.0,12.0,14.0
Muntplein,108.0,93.0,103.0,102.0,111.0,101.0,86.0,99.0,109.0,115.0
Museumplein,66.0,63.0,63.0,51.0,60.0,66.0,70.0,54.0,56.0,59.0
Nieuwezijds Kolk,51.0,52.0,57.0,51.0,68.0,55.0,59.0,51.0,51.0,46.0
Nieuwmarkt,194.0,181.0,198.0,183.0,193.0,189.0,188.0,178.0,206.0,206.0
Noord,2214.0,2330.0,2244.0,2262.0,2361.0,2251.0,2267.0,2325.0,2222.0,2195.0
Noorderpark,506.0,503.0,537.0,509.0,534.0,516.0,508.0,518.0,553.0,496.0
Olympiaplein,46.0,60.0,68.0,54.0,49.0,62.0,60.0,57.0,53.0,55.0
Olympiaweg,40.0,39.0,42.0,34.0,52.0,44.0,50.0,61.0,46.0,57.0
Olympisch stadion,35.0,53.0,56.0,59.0,49.0,51.0,44.0,45.0,43.0,58.0
Overamstel,89.0,85.0,71.0,74.0,79.0,76.0,76.0,93.0,63.0,92.0
Postjesweg,143.0,153.0,152.0,146.0,150.0,150.0,145.0,154.0,151.0,153.0
Prinsengracht,46.0,47.0,43.0,42.0,42.0,52.0,60.0,35.0,44.0,57.0
Reigersbos,311.0,288.0,305.0,276.0,318.0,300.0,285.0,295.0,316.0,270.0
Rijksmuseum,65.0,62.0,56.0,55.0,53.0,48.0,63.0,53.0,53.0,62.0
Roelof Hartplein,181.0,147.0,152.0,194.0,181.0,196.0,164.0,178.0,173.0,176.0
