departure,line,occupancy1,occupancy2,occupancy3,occupancy4,occupancy5,occupancy6,occupancy7,occupancy8,occupancy9,occupancy10
08:00:00,metro52_0,"[52, 62, 45, 46, 47, 55, 59]","[60, 70, 54, 56, 61, 56, 61]","[58, 74, 60, 56, 59, 54, 59]","[52, 56, 50, 54, 63, 57, 68]","[51, 61, 54, 52, 54, 47, 51]","[49, 59, 49, 52, 56, 51, 61]","[47, 57, 58, 59, 62, 51, 62]","[58, 63, 58, 61, 64, 62, 62]","[56, 69, 60, 60, 62, 59, 69]","[56, 65, 49, 48, 51, 58, 63]"
08:00:00,metro50_1,"[6, 18, 27, 44, 58, 63, 71, 99, 105, 112, 39, 29, 28, 28, 28, 28, 27, 29, 3]","[14, 30, 36, 46, 59, 69, 82, 113, 115, 116, 40, 23, 24, 22, 17, 14, 12, 11, 2]","[15, 23, 29, 44, 58, 69, 79, 114, 123, 126, 37, 25, 21, 17, 16, 16, 13, 11, 0]","[11, 22, 28, 45, 61, 66, 80, 111, 114, 112, 39, 31, 31, 32, 28, 24, 21, 20, 4]","[9, 26, 38, 49, 74, 79, 92, 114, 119, 120, 42, 36, 32, 28, 22, 21, 20, 17, 4]","[12, 25, 35, 46, 59, 68, 75, 105, 109, 106, 56, 44, 42, 36, 29, 28, 26, 24, 0]","[12, 29, 41, 52, 63, 72, 94, 129, 132, 127, 52, 34, 30, 29, 27, 24, 23, 24, 4]","[11, 29, 36, 56, 70, 77, 86, 119, 119, 122, 49, 39, 34, 30, 24, 22, 20, 20, 0]","[9, 29, 39, 47, 55, 65, 74, 109, 114, 112, 40, 30, 27, 23, 19, 16, 12, 12, 1]","[9, 22, 36, 53, 63, 68, 80, 110, 112, 120, 53, 40, 40, 35, 30, 30, 29, 24, 5]"
08:01:00,metro50_0,"[2, 20, 25, 28, 29, 40, 45, 62, 53, 45, 45, 48, 50, 43, 41, 22, 19, 7, 2]","[1, 11, 19, 25, 28, 36, 38, 49, 38, 54, 52, 55, 72, 67, 61, 25, 22, 12, 4]","[1, 11, 16, 16, 19, 29, 35, 47, 46, 54, 47, 51, 51, 46, 43, 17, 13, 7, 3]","[0, 22, 27, 32, 35, 42, 45, 53, 31, 46, 46, 47, 54, 44, 45, 24, 25, 12, 6]","[0, 9, 13, 19, 25, 41, 46, 58, 45, 41, 40, 39, 51, 47, 48, 21, 17, 7, 4]","[0, 18, 24, 31, 39, 52, 57, 64, 60, 58, 54, 56, 60, 57, 52, 27, 16, 5, 1]","[4, 17, 25, 32, 40, 54, 63, 73, 62, 54, 51, 53, 59, 56, 53, 29, 22, 12, 4]","[2, 19, 24, 28, 32, 41, 46, 57, 49, 53, 53, 52, 65, 59, 57, 29, 25, 15, 7]","[0, 16, 19, 23, 28, 41, 43, 53, 46, 60, 59, 60, 70, 63, 61, 29, 22, 12, 8]","[2, 14, 20, 22, 26, 44, 48, 63, 51, 54, 46, 49, 55, 47, 44, 24, 18, 8, 4]"
08:03:00,tram12_1,"[3, 3, 7, 7, 7, 7, 7, 14, 11, 15, 16, 16, 19, 20, 20, 19, 23, 16, 16]","[4, 4, 4, 4, 4, 4, 5, 18, 17, 14, 14, 12, 13, 15, 15, 14, 11, 5, 6]","[6, 6, 7, 7, 7, 7, 7, 21, 17, 14, 14, 14, 12, 13, 13, 13, 11, 6, 5]","[7, 7, 8, 8, 8, 8, 8, 21, 23, 23, 25, 25, 25, 26, 25, 24, 22, 15, 15]","[5, 5, 8, 9, 9, 9, 10, 24, 19, 20, 18, 14, 14, 14, 14, 14, 15, 12, 10]","[4, 4, 6, 6, 6, 6, 6, 24, 22, 22, 23, 22, 22, 21, 21, 19, 18, 12, 12]","[3, 3, 5, 5, 5, 5, 5, 19, 18, 19, 17, 15, 15, 16, 16, 15, 17, 14, 14]","[4, 4, 5, 5, 5, 5, 5, 28, 25, 23, 19, 16, 19, 18, 18, 18, 19, 13, 14]","[1, 1, 2, 3, 3, 3, 3, 21, 23, 22, 22, 20, 22, 23, 23, 21, 21, 15, 14]","[1, 1, 2, 3, 3, 3, 3, 17, 18, 18, 18, 15, 13, 14, 14, 14, 14, 11, 12]"
08:03:00,metro53_0,"[13, 36, 36, 37, 49, 69, 52, 54, 44, 54, 57, 65, 69]","[10, 34, 34, 38, 60, 75, 53, 54, 40, 45, 50, 50, 53]","[15, 30, 30, 34, 43, 61, 57, 60, 49, 55, 60, 64, 68]","[11, 29, 29, 32, 41, 60, 60, 62, 51, 54, 59, 57, 62]","[7, 39, 39, 41, 48, 63, 55, 55, 44, 47, 46, 43, 48]","[15, 32, 32, 34, 45, 66, 48, 52, 42, 40, 48, 50, 50]","[11, 37, 37, 37, 49, 66, 67, 70, 51, 54, 59, 61, 63]","[11, 44, 44, 46, 57, 74, 69, 70, 52, 63, 60, 62, 65]","[8, 33, 33, 34, 49, 71, 63, 67, 48, 60, 60, 54, 54]","[4, 29, 29, 33, 45, 66, 49, 51, 31, 40, 45, 47, 48]"
08:03:00,metro53_1,"[33, 29, 26, 28, 35, 40, 43, 11, 6, 6, 6, 6, 0]","[45, 41, 38, 37, 37, 45, 46, 9, 8, 4, 4, 4, 1]","[35, 33, 34, 35, 36, 45, 50, 15, 11, 7, 7, 7, 1]","[31, 30, 34, 32, 33, 37, 42, 12, 8, 2, 2, 2, 1]","[32, 30, 27, 26, 27, 32, 35, 6, 7, 4, 4, 4, 1]","[33, 33, 32, 33, 36, 43, 43, 9, 8, 8, 7, 7, 1]","[22, 22, 19, 20, 26, 40, 41, 11, 11, 6, 6, 6, 0]","[24, 25, 23, 24, 28, 34, 37, 8, 6, 6, 7, 7, 1]","[30, 28, 29, 31, 35, 48, 56, 12, 8, 4, 4, 4, 0]","[38, 37, 34, 33, 39, 45, 46, 11, 11, 9, 9, 9, 2]"
08:04:00,tram24_1,"[5, 4, 5, 4, 5, 7, 14, 9, 10, 10, 10, 10, 10, 10, 10, 0, 0]","[3, 6, 5, 5, 4, 5, 13, 15, 16, 16, 16, 19, 20, 19, 19, 0, 0]","[5, 2, 2, 2, 5, 5, 10, 13, 13, 13, 13, 13, 11, 14, 14, 0, 0]","[4, 2, 4, 4, 4, 4, 15, 12, 11, 11, 11, 12, 14, 15, 15, 0, 0]","[8, 7, 6, 6, 9, 13, 24, 21, 20, 20, 20, 19, 20, 23, 23, 1, 0]","[5, 7, 8, 8, 9, 15, 13, 13, 13, 13, 13, 14, 14, 10, 10, 1, 0]","[3, 4, 5, 5, 5, 6, 11, 8, 7, 7, 7, 8, 9, 8, 8, 0, 0]","[1, 4, 5, 5, 9, 11, 16, 17, 14, 14, 14, 15, 16, 18, 18, 0, 0]","[5, 4, 4, 4, 7, 9, 10, 8, 7, 7, 7, 9, 10, 11, 11, 0, 0]","[9, 8, 8, 6, 10, 11, 14, 17, 19, 19, 19, 19, 18, 19, 19, 0, 0]"
08:05:00,metro52_1,"[27, 33, 46, 47, 38, 10, 7]","[24, 29, 43, 46, 43, 11, 8]","[24, 32, 43, 46, 41, 13, 8]","[22, 25, 43, 41, 39, 4, 4]","[35, 41, 48, 46, 41, 6, 4]","[23, 36, 47, 44, 32, 7, 5]","[24, 27, 34, 40, 32, 11, 10]","[24, 28, 43, 43, 37, 15, 8]","[30, 38, 51, 54, 46, 11, 10]","[17, 29, 44, 43, 41, 10, 9]"
08:05:00,tram24_0,"[0, 1, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 6, 6, 6, 9, 6]","[0, 0, 4, 4, 5, 5, 6, 6, 6, 6, 7, 4, 5, 5, 5, 7, 1]","[0, 1, 1, 1, 4, 8, 10, 10, 10, 9, 13, 10, 10, 8, 7, 13, 5]","[0, 0, 1, 1, 5, 8, 8, 8, 8, 10, 14, 11, 11, 10, 10, 17, 12]","[0, 1, 6, 6, 7, 8, 9, 9, 9, 9, 11, 8, 11, 11, 9, 12, 10]","[0, 0, 2, 2, 3, 4, 5, 5, 5, 6, 5, 6, 6, 6, 6, 9, 4]","[0, 0, 1, 1, 1, 4, 5, 5, 5, 5, 5, 5, 6, 7, 6, 10, 4]","[0, 1, 3, 3, 3, 5, 5, 5, 5, 7, 9, 8, 9, 9, 8, 18, 5]","[0, 1, 3, 3, 3, 7, 8, 8, 8, 8, 11, 9, 10, 11, 11, 16, 10]","[0, 1, 3, 3, 5, 5, 6, 6, 6, 7, 9, 9, 9, 8, 7, 10, 6]"
08:05:00,tram12_0,"[3, 4, 3, 3, 3, 3, 4, 8, 10, 10, 13, 12, 15, 15, 15, 15, 15, 15, 15]","[4, 5, 3, 3, 2, 4, 7, 11, 13, 13, 13, 13, 19, 19, 19, 19, 19, 21, 21]","[0, 0, 0, 0, 1, 2, 3, 5, 7, 8, 9, 9, 16, 16, 16, 16, 16, 16, 16]","[7, 7, 5, 6, 6, 6, 7, 11, 13, 9, 11, 13, 17, 17, 17, 17, 17, 17, 17]","[2, 3, 4, 3, 3, 6, 8, 11, 12, 14, 14, 14, 21, 21, 21, 21, 21, 21, 21]","[0, 0, 0, 0, 2, 2, 3, 7, 10, 9, 10, 10, 14, 14, 14, 14, 14, 17, 17]","[3, 4, 5, 5, 4, 4, 6, 15, 19, 20, 21, 19, 15, 14, 14, 14, 14, 14, 14]","[2, 2, 2, 2, 2, 2, 4, 9, 9, 12, 13, 14, 17, 17, 17, 17, 17, 17, 17]","[1, 1, 1, 1, 1, 1, 2, 8, 10, 11, 12, 13, 16, 16, 16, 16, 16, 18, 18]","[6, 6, 9, 8, 8, 8, 8, 10, 11, 11, 9, 9, 25, 25, 25, 25, 25, 25, 25]"
